mod,nAg,nOb,obDen,rRep,rOr,rOrX,rAt,rAtX,str,exp,hullOLD,hull,iso,isoLast,cco,ccoLast,cc,ccLast,vmrLast,degIn,degOut,degTot,avgDeg
M,50,0,0,10,15,1.50X,22,1.50X,45,304.96,73803.89,73.8,1.79,3,3.91,7,0.66,0.67,9.92,7.41,7.41,14.83,7.41
M,50,0,0,10,15,1.50X,22,1.50X,45,471.46,62567.5,62.57,0,0,3.51,6,0.71,0.75,4.8,6.43,6.43,12.87,6.43
M,50,0,0,10,15,1.50X,22,1.50X,45,282.46,39787.84,39.79,0,0,2.98,4,0.7,0.72,9.96,7.98,7.98,15.97,7.98
M,50,0,0,10,15,1.50X,22,1.50X,45,332.88,58485.45,58.49,0,0,2.72,4,0.67,0.63,9,7.51,7.51,15.01,7.51
M,50,0,0,10,15,1.50X,22,1.50X,45,327.71,86956.29,86.96,0.67,1,5.39,9,0.62,0.67,6.08,6.63,6.63,13.26,6.63
M,50,0,0,10,15,1.50X,22,1.50X,45,106.22,11608.59,11.61,0,0,1.45,2,0.64,0.69,23.64,8.58,8.58,17.16,8.58
M,50,0,0,10,15,1.50X,22,1.50X,45,109.21,21569.13,21.57,0,0,1.83,2,0.6,0.57,16.64,9.34,9.34,18.68,9.34
M,50,0,0,10,15,1.50X,22,1.50X,45,407.51,68415.56,68.42,1.3,2,3.76,5,0.66,0.67,9.96,7.55,7.55,15.1,7.55
M,50,0,0,10,15,1.50X,22,1.50X,45,264.74,47847.6,47.85,0.37,1,2.58,4,0.62,0.62,9.76,7.5,7.5,15,7.5
M,50,0,0,10,15,1.50X,22,1.50X,45,298.49,55557.89,55.56,0.81,1,3.64,5,0.67,0.71,9.6,6.46,6.46,12.92,6.46
M,50,0,0,10,15,1.50X,22,1.50X,45,164,15700.32,15.7,0,0,1.9,3,0.64,0.66,16.8,8.11,8.11,16.21,8.11
M,50,0,0,10,15,1.50X,22,1.50X,45,306.27,75963.27,75.96,0,0,3.87,6,0.62,0.63,9.32,7.38,7.38,14.77,7.38
M,50,0,0,10,15,1.50X,22,1.50X,45,218.85,57241.23,57.24,1,1,2.89,5,0.59,0.6,10.24,7.87,7.87,15.74,7.87
M,50,0,0,10,15,1.50X,22,1.50X,45,325.55,38067.88,38.07,0,0,2.59,6,0.68,0.72,7.04,6.99,6.99,13.97,6.99
M,50,0,0,10,15,1.50X,22,1.50X,45,219.21,58065.9,58.07,0.61,1,3.91,5,0.61,0.6,8.12,7.78,7.78,15.56,7.78
M,50,0,0,10,15,1.50X,22,1.50X,45,471.4,67584.57,67.58,0.62,1,5.13,8,0.63,0.63,7.2,6.24,6.24,12.47,6.24
M,50,0,0,10,15,1.50X,22,1.50X,45,263.24,86120.95,86.12,0,0,3.84,6,0.57,0.58,9.68,6.46,6.46,12.92,6.46
M,50,0,0,10,15,1.50X,22,1.50X,45,68.82,14160.1,14.16,0.84,1,1.84,2,0.61,0.59,19,8.48,8.48,16.95,8.48
M,50,0,0,10,15,1.50X,22,1.50X,45,398.99,72618.62,72.62,0.44,1,3.54,6,0.67,0.74,6.2,6.24,6.24,12.49,6.24
M,50,0,0,10,15,1.50X,22,1.50X,45,283.6,27575.97,27.58,0.03,0,2.08,3,0.64,0.68,14.76,7.3,7.3,14.59,7.3
M,50,0,0,10,15,1.50X,22,1.50X,45,147.59,38544.85,38.54,1.33,2,2.96,4,0.63,0.62,11.64,8.07,8.07,16.15,8.07
M,50,0,0,10,15,1.50X,22,1.50X,45,152.3,18556.39,18.56,0.75,1,1.83,3,0.63,0.7,11.36,8.74,8.74,17.48,8.74
M,50,0,0,10,15,1.50X,22,1.50X,45,159.36,51443.08,51.44,0.76,1,2.72,4,0.62,0.62,10.64,9.89,9.89,19.78,9.89
M,50,0,0,10,15,1.50X,22,1.50X,45,219.83,41332.96,41.33,0.65,1,3.8,8,0.56,0.56,8.28,6.71,6.71,13.42,6.71
M,50,0,0,10,15,1.50X,22,1.50X,45,429.93,72783.77,72.78,0.64,1,4.14,6,0.64,0.63,9.72,7.63,7.63,15.26,7.63
M,50,0,0,10,15,1.50X,22,1.50X,90,505.92,77492.18,77.49,0.27,0,4.92,7,0.62,0.63,5.44,5.83,5.83,11.66,5.83
M,50,0,0,10,15,1.50X,22,1.50X,90,586.04,117878.36,117.88,0.98,2,6.88,12,0.65,0.71,3.72,4.83,4.83,9.67,4.83
M,50,0,0,10,15,1.50X,22,1.50X,90,436.44,82147.81,82.15,0,0,3.15,5,0.7,0.74,10.04,6.17,6.17,12.33,6.17
M,50,0,0,10,15,1.50X,22,1.50X,90,458.44,87327.46,87.33,0.72,1,4.9,7,0.65,0.69,6.04,6.18,6.18,12.36,6.18
M,50,0,0,10,15,1.50X,22,1.50X,90,477.58,102255.45,102.26,1.32,2,5.43,8,0.61,0.63,5.56,5.1,5.1,10.21,5.1
M,50,0,0,10,15,1.50X,22,1.50X,90,572.89,102549.41,102.55,0.67,1,6.11,11,0.64,0.68,3.24,5.12,5.12,10.24,5.12
M,50,0,0,10,15,1.50X,22,1.50X,90,243.5,47120.69,47.12,0.53,1,3.33,7,0.59,0.61,10.76,6.88,6.88,13.76,6.88
M,50,0,0,10,15,1.50X,22,1.50X,90,473.26,104852.81,104.85,2.1,3,6.6,10,0.6,0.63,6.6,6.27,6.27,12.55,6.27
M,50,0,0,10,15,1.50X,22,1.50X,90,466.39,95058.7,95.06,0,0,4.72,9,0.62,0.66,7.12,5.8,5.8,11.59,5.8
M,50,0,0,10,15,1.50X,22,1.50X,90,522.89,114778.53,114.78,2.8,4,6.8,10,0.62,0.63,5.12,4.84,4.84,9.69,4.84
M,50,0,0,10,15,1.50X,22,1.50X,90,504.64,84013.97,84.01,0.63,1,4.72,8,0.67,0.73,5.76,6.03,6.03,12.06,6.03
M,50,0,0,10,15,1.50X,22,1.50X,90,360.19,84264.06,84.26,1.25,2,4.62,8,0.61,0.66,5.92,5.67,5.67,11.33,5.67
M,50,0,0,10,15,1.50X,22,1.50X,90,520.37,95427.22,95.43,1.61,2,5.57,9,0.59,0.58,6.04,5.91,5.91,11.82,5.91
M,50,0,0,10,15,1.50X,22,1.50X,90,527.02,109459.02,109.46,1.8,3,5.85,10,0.63,0.62,4.64,5.9,5.9,11.8,5.9
M,50,0,0,10,15,1.50X,22,1.50X,90,448.97,103172.47,103.17,0.6,1,5.49,9,0.66,0.72,4.72,5.4,5.4,10.81,5.4
M,50,0,0,10,15,1.50X,22,1.50X,90,579.64,106277.16,106.28,0,0,4.63,7,0.67,0.71,4.36,5.3,5.3,10.59,5.3
M,50,0,0,10,15,1.50X,22,1.50X,90,556.06,120809.4,120.81,0.7,1,5.91,9,0.55,0.61,5.68,4.88,4.88,9.75,4.88
M,50,0,0,10,15,1.50X,22,1.50X,90,462.57,90318.34,90.32,0.67,1,5.59,8,0.72,0.77,5.8,5.46,5.46,10.91,5.46
M,50,0,0,10,15,1.50X,22,1.50X,90,475.12,91991.24,91.99,0.62,1,5.56,9,0.59,0.57,5.88,5.26,5.26,10.52,5.26
M,50,0,0,10,15,1.50X,22,1.50X,90,568.71,100452.63,100.45,0,0,4.49,7,0.68,0.72,6.12,5.73,5.73,11.46,5.73
M,50,0,0,10,15,1.50X,22,1.50X,90,493.61,75599.49,75.6,0,0,3.59,6,0.64,0.65,7.56,6.54,6.54,13.07,6.54
M,50,0,0,10,15,1.50X,22,1.50X,90,479.18,55944.61,55.94,0.49,1,3.08,5,0.59,0.61,9.4,6.52,6.52,13.03,6.52
M,50,0,0,10,15,1.50X,22,1.50X,90,509.16,103226.29,103.23,1.29,2,5.94,10,0.6,0.57,4.76,6.11,6.11,12.22,6.11
M,50,0,0,10,15,1.50X,22,1.50X,90,558.57,102732.59,102.73,0.72,1,5.69,8,0.65,0.66,4.6,5.41,5.41,10.83,5.41
M,50,0,0,10,15,1.50X,22,1.50X,90,508.42,99512.72,99.51,0.66,1,4.96,8,0.72,0.79,6.76,5.95,5.95,11.9,5.95
M,50,0,0,10,15,1.50X,22,1.50X,135,667.84,122425.58,122.43,2.18,3,7.52,11,0.66,0.67,3.76,4.86,4.86,9.73,4.86
M,50,0,0,10,15,1.50X,22,1.50X,135,600.88,124837.35,124.84,0.58,1,6.6,10,0.65,0.68,4.96,4.35,4.35,8.7,4.35
M,50,0,0,10,15,1.50X,22,1.50X,135,541.02,116990.21,116.99,0.74,1,6.51,11,0.58,0.6,4.2,4.89,4.89,9.78,4.89
M,50,0,0,10,15,1.50X,22,1.50X,135,545.34,119441.61,119.44,1.52,2,7.62,14,0.57,0.52,2.72,4.7,4.7,9.4,4.7
M,50,0,0,10,15,1.50X,22,1.50X,135,501.49,116449.79,116.45,0.8,1,5.78,10,0.55,0.52,5.4,4.31,4.31,8.62,4.31
M,50,0,0,10,15,1.50X,22,1.50X,135,613.7,118683.86,118.68,1.96,3,8.27,14,0.61,0.6,3.24,4.72,4.72,9.45,4.72
M,50,0,0,10,15,1.50X,22,1.50X,135,584.33,125789.67,125.79,1.55,2,7.6,13,0.58,0.67,3.08,4.64,4.64,9.28,4.64
M,50,0,0,10,15,1.50X,22,1.50X,135,529.61,123309.91,123.31,1.43,2,7.35,11,0.57,0.58,4.68,4.51,4.51,9.03,4.51
M,50,0,0,10,15,1.50X,22,1.50X,135,585.38,125269.61,125.27,0.66,1,6.83,11,0.57,0.6,4.12,4.84,4.84,9.67,4.84
M,50,0,0,10,15,1.50X,22,1.50X,135,554.94,119288.19,119.29,1.95,3,7.09,11,0.6,0.63,3.04,4.49,4.49,8.97,4.49
M,50,0,0,10,15,1.50X,22,1.50X,135,603.05,122336.94,122.34,1.13,2,8.09,14,0.48,0.42,4.48,4.46,4.46,8.93,4.46
M,50,0,0,10,15,1.50X,22,1.50X,135,538.78,119589.98,119.59,2.26,4,6.68,11,0.62,0.7,4,4.96,4.96,9.93,4.96
M,50,0,0,10,15,1.50X,22,1.50X,135,605.02,127693.92,127.69,3.99,6,10.4,19,0.49,0.49,2.64,4.03,4.03,8.06,4.03
M,50,0,0,10,15,1.50X,22,1.50X,135,583.58,124039.96,124.04,1.49,2,6.67,9,0.66,0.67,3.56,5.49,5.49,10.98,5.49
M,50,0,0,10,15,1.50X,22,1.50X,135,518.01,122760.36,122.76,1.4,2,6.48,9,0.65,0.7,3.36,4.52,4.52,9.05,4.52
M,50,0,0,10,15,1.50X,22,1.50X,135,626.1,125208.66,125.21,1.95,3,7.62,13,0.63,0.68,3.08,4.51,4.51,9.02,4.51
M,50,0,0,10,15,1.50X,22,1.50X,135,580.78,128287.05,128.29,2.09,3,8.18,12,0.54,0.55,4.16,4.46,4.46,8.92,4.46
M,50,0,0,10,15,1.50X,22,1.50X,135,532.24,123974.12,123.97,3.26,5,9.07,14,0.6,0.64,7.36,4.64,4.64,9.28,4.64
M,50,0,0,10,15,1.50X,22,1.50X,135,541,109963.2,109.96,2.17,3,7.53,12,0.56,0.53,5.44,4.39,4.39,8.77,4.39
M,50,0,0,10,15,1.50X,22,1.50X,135,600.78,114882.27,114.88,0.02,0,5.08,7,0.62,0.63,5.36,5.13,5.13,10.27,5.13
M,50,0,0,10,15,1.50X,22,1.50X,135,619.99,121930.08,121.93,0,0,5.41,10,0.55,0.54,3.76,4.83,4.83,9.66,4.83
M,50,0,0,10,15,1.50X,22,1.50X,135,669.66,121977.39,121.98,0.49,1,6.63,11,0.62,0.67,3.8,5.15,5.15,10.3,5.15
M,50,0,0,10,15,1.50X,22,1.50X,135,561.87,113104.97,113.1,1.94,4,6.3,12,0.55,0.51,4.2,4.87,4.87,9.74,4.87
M,50,0,0,10,15,1.50X,22,1.50X,135,615.9,124613.94,124.61,0.92,2,6.65,10,0.62,0.64,2.92,4.78,4.78,9.56,4.78
M,50,0,0,10,15,1.50X,22,1.50X,135,553.8,124803.19,124.8,0.58,1,7.07,11,0.56,0.53,6.04,4.77,4.77,9.53,4.77
M,50,0,0,10,15,1.50X,30,2X,45,95.96,20947.47,20.95,0,0,2.04,3,0.67,0.67,10.6,14.22,14.22,28.44,14.22
M,50,0,0,10,15,1.50X,30,2X,45,355.42,25727.68,25.73,0,0,2.05,3,0.73,0.78,10.52,12.53,12.53,25.05,12.53
M,50,0,0,10,15,1.50X,30,2X,45,312.69,45506.52,45.51,0.51,1,3.12,5,0.76,0.8,12.96,12.64,12.64,25.27,12.64
M,50,0,0,10,15,1.50X,30,2X,45,94.69,16231.11,16.23,0,0,1.73,2,0.72,0.73,9.52,16.14,16.14,32.28,16.14
M,50,0,0,10,15,1.50X,30,2X,45,18.03,6316.65,6.32,0,0,1,1,0.71,0.69,11.4,16.13,16.13,32.26,16.13
M,50,0,0,10,15,1.50X,30,2X,45,63.73,13714.06,13.71,0,0,1.51,2,0.68,0.65,11.76,15.83,15.83,31.66,15.83
M,50,0,0,10,15,1.50X,30,2X,45,61.7,8756.7,8.76,0,0,1,1,0.7,0.65,18,16.1,16.1,32.19,16.1
M,50,0,0,10,15,1.50X,30,2X,45,18.47,6269.66,6.27,0,0,1,1,0.7,0.69,16.68,15.89,15.89,31.78,15.89
M,50,0,0,10,15,1.50X,30,2X,45,390.7,80275.07,80.28,0,0,3.11,5,0.73,0.8,7.12,10.71,10.71,21.43,10.71
M,50,0,0,10,15,1.50X,30,2X,45,98.58,12797.5,12.8,0,0,1.1,2,0.69,0.71,8.72,12,12,24.01,12
M,50,0,0,10,15,1.50X,30,2X,45,11.82,4594.48,4.59,0,0,1,1,0.72,0.69,11.4,19.13,19.13,38.26,19.13
M,50,0,0,10,15,1.50X,30,2X,45,138.22,21389.03,21.39,0,0,1.78,2,0.73,0.74,27.2,16.43,16.43,32.86,16.43
M,50,0,0,10,15,1.50X,30,2X,45,97.97,16072.02,16.07,0,0,1.62,2,0.72,0.72,9.2,17,17,33.99,17
M,50,0,0,10,15,1.50X,30,2X,45,6.75,4450.13,4.45,0,0,1,1,0.71,0.71,12.44,18.29,18.29,36.59,18.29
M,50,0,0,10,15,1.50X,30,2X,45,5.47,6071.87,6.07,0,0,1,1,0.72,0.71,12.2,18.35,18.35,36.71,18.35
M,50,0,0,10,15,1.50X,30,2X,45,142.72,12788.5,12.79,0,0,1.15,2,0.7,0.72,7.48,12.57,12.57,25.14,12.57
M,50,0,0,10,15,1.50X,30,2X,45,73.77,17498.37,17.5,0,0,1.79,2,0.69,0.66,28.96,18.59,18.59,37.17,18.59
M,50,0,0,10,15,1.50X,30,2X,45,9.13,5929.38,5.93,0,0,1,1,0.72,0.7,21.16,17.6,17.6,35.2,17.6
M,50,0,0,10,15,1.50X,30,2X,45,29.21,9696.17,9.7,0,0,1.8,2,0.69,0.69,27.16,15.11,15.11,30.21,15.11
M,50,0,0,10,15,1.50X,30,2X,45,22.74,6358.7,6.36,0,0,1,1,0.7,0.7,22.72,15.3,15.3,30.61,15.3
M,50,0,0,10,15,1.50X,30,2X,45,50.74,10467.34,10.47,0.49,1,1.46,2,0.71,0.68,33.84,16.17,16.17,32.34,16.17
M,50,0,0,10,15,1.50X,30,2X,45,36.19,5666.46,5.67,0,0,1,1,0.71,0.69,11.08,18.41,18.41,36.82,18.41
M,50,0,0,10,15,1.50X,30,2X,45,12.75,5379.79,5.38,0,0,1,1,0.73,0.71,20.64,19.95,19.95,39.91,19.95
M,50,0,0,10,15,1.50X,30,2X,45,22.54,5854.88,5.85,0,0,1,1,0.69,0.69,22.28,16.84,16.84,33.68,16.84
M,50,0,0,10,15,1.50X,30,2X,45,123.15,19859.73,19.86,0,0,1.7,2,0.73,0.74,16.88,16.12,16.12,32.25,16.12
M,50,0,0,10,15,1.50X,30,2X,90,297,67145.33,67.15,0,0,2.79,5,0.7,0.74,7.28,10.06,10.06,20.12,10.06
M,50,0,0,10,15,1.50X,30,2X,90,522.59,95529.95,95.53,0.46,1,4.23,7,0.76,0.81,5.64,8.94,8.94,17.87,8.94
M,50,0,0,10,15,1.50X,30,2X,90,436.39,83871.42,83.87,0,0,3.27,5,0.79,0.85,12.16,10.33,10.33,20.67,10.33
M,50,0,0,10,15,1.50X,30,2X,90,391.81,69967.49,69.97,0.68,1,3.49,6,0.75,0.82,8.32,10.3,10.3,20.61,10.3
M,50,0,0,10,15,1.50X,30,2X,90,159.62,23274.35,23.27,0,0,1.66,2,0.71,0.72,10.16,12.62,12.62,25.23,12.62
M,50,0,0,10,15,1.50X,30,2X,90,290.52,49560.85,49.56,0,0,2.28,4,0.7,0.79,6.2,11.2,11.2,22.4,11.2
M,50,0,0,10,15,1.50X,30,2X,90,56.66,11529.89,11.53,0.08,0,1.42,2,0.65,0.64,10.68,13.32,13.32,26.64,13.32
M,50,0,0,10,15,1.50X,30,2X,90,357.47,55310.93,55.31,0.61,1,3.04,5,0.73,0.75,6.36,11.07,11.07,22.15,11.07
M,50,0,0,10,15,1.50X,30,2X,90,497.64,110918.52,110.92,0,0,4.31,7,0.67,0.71,6.24,9,9,18,9
M,50,0,0,10,15,1.50X,30,2X,90,297.96,42861.34,42.86,0,0,1.92,3,0.69,0.7,7.36,9.28,9.28,18.56,9.28
M,50,0,0,10,15,1.50X,30,2X,90,495.19,101260.65,101.26,0.65,1,4.91,8,0.72,0.74,6.64,9.29,9.29,18.58,9.29
M,50,0,0,10,15,1.50X,30,2X,90,259.97,71225.52,71.23,0.68,1,3.28,5,0.68,0.69,11.2,12.14,12.14,24.28,12.14
M,50,0,0,10,15,1.50X,30,2X,90,358.28,45305.46,45.31,0.63,1,3.07,5,0.72,0.76,7,11.69,11.69,23.38,11.69
M,50,0,0,10,15,1.50X,30,2X,90,496.52,98275.54,98.28,0.45,1,4.08,7,0.77,0.84,4.44,9.38,9.38,18.75,9.38
M,50,0,0,10,15,1.50X,30,2X,90,128.07,33271.66,33.27,0.02,0,2.39,4,0.64,0.64,12.6,12.41,12.41,24.82,12.41
M,50,0,0,10,15,1.50X,30,2X,90,509.12,74394.59,74.39,0.56,1,3.39,5,0.76,0.77,6.24,10.49,10.49,20.99,10.49
M,50,0,0,10,15,1.50X,30,2X,90,106.76,40794.38,40.79,0,0,2.31,3,0.66,0.64,9.32,13.23,13.23,26.47,13.23
M,50,0,0,10,15,1.50X,30,2X,90,59.89,9980.66,9.98,0,0,1.39,2,0.72,0.74,9.04,14.5,14.5,29,14.5
M,50,0,0,10,15,1.50X,30,2X,90,265.42,82514.66,82.51,0,0,2.89,4,0.65,0.68,9.6,11,11,22.01,11
M,50,0,0,10,15,1.50X,30,2X,90,313.39,35290.54,35.29,0,0,2.67,5,0.71,0.77,7.36,10.77,10.77,21.54,10.77
M,50,0,0,10,15,1.50X,30,2X,90,420.04,57744.43,57.74,0.52,1,2.98,5,0.76,0.78,6.88,12.09,12.09,24.18,12.09
M,50,0,0,10,15,1.50X,30,2X,90,298.77,29574.65,29.57,0.58,1,2.95,5,0.74,0.77,12.56,12.13,12.13,24.26,12.13
M,50,0,0,10,15,1.50X,30,2X,90,238.8,40578.09,40.58,0.66,1,2.4,5,0.72,0.77,9.6,12.01,12.01,24.01,12.01
M,50,0,0,10,15,1.50X,30,2X,90,484.04,76182.78,76.18,0,0,3.01,5,0.78,0.85,5.48,9.88,9.88,19.76,9.88
M,50,0,0,10,15,1.50X,30,2X,90,480.52,85271.86,85.27,1.64,3,3.89,6,0.72,0.71,10.68,10.45,10.45,20.9,10.45
M,50,0,0,10,15,1.50X,30,2X,135,615.31,115147.15,115.15,0.72,1,5.41,9,0.78,0.86,4.08,7.83,7.83,15.65,7.83
M,50,0,0,10,15,1.50X,30,2X,135,576.17,116108.83,116.11,0.6,1,5.02,10,0.73,0.79,3.88,7.24,7.24,14.47,7.24
M,50,0,0,10,15,1.50X,30,2X,135,527.84,120023.38,120.02,0.38,1,4.88,9,0.74,0.79,4.96,7.95,7.95,15.91,7.95
M,50,0,0,10,15,1.50X,30,2X,135,511.8,115318.97,115.32,0,0,4.31,7,0.73,0.76,6.36,8.77,8.77,17.55,8.77
M,50,0,0,10,15,1.50X,30,2X,135,462.05,116089.95,116.09,0,0,5.16,9,0.68,0.73,5.72,7.38,7.38,14.76,7.38
M,50,0,0,10,15,1.50X,30,2X,135,592.89,117930.32,117.93,1.14,2,5.08,9,0.71,0.75,2.32,7.4,7.4,14.81,7.4
M,50,0,0,10,15,1.50X,30,2X,135,515.72,108802.54,108.8,0.75,1,5.07,9,0.65,0.69,6.92,8.29,8.29,16.58,8.29
M,50,0,0,10,15,1.50X,30,2X,135,477.67,101530.03,101.53,1.21,2,4.51,7,0.68,0.69,8.52,8.41,8.41,16.82,8.41
M,50,0,0,10,15,1.50X,30,2X,135,575.71,115034.91,115.03,0.84,2,5.34,10,0.68,0.71,3.28,7.36,7.36,14.72,7.36
M,50,0,0,10,15,1.50X,30,2X,135,511.29,113128.3,113.13,1.33,3,5.88,13,0.66,0.71,4.68,6.37,6.37,12.75,6.37
M,50,0,0,10,15,1.50X,30,2X,135,556.26,109228.18,109.23,0,0,3.67,8,0.75,0.84,4.24,8.47,8.47,16.94,8.47
M,50,0,0,10,15,1.50X,30,2X,135,467.23,113142.58,113.14,0.74,1,4.77,9,0.73,0.76,4.36,8.51,8.51,17.02,8.51
M,50,0,0,10,15,1.50X,30,2X,135,552.1,99832.3,99.83,0.7,1,4.34,8,0.72,0.74,5.04,8.83,8.83,17.66,8.83
M,50,0,0,10,15,1.50X,30,2X,135,558.32,116081.23,116.08,0.24,1,5.49,10,0.71,0.73,4.2,8.07,8.07,16.13,8.07
M,50,0,0,10,15,1.50X,30,2X,135,438.14,101605.07,101.61,0.98,1,4.82,9,0.69,0.8,4.88,7.66,7.66,15.32,7.66
M,50,0,0,10,15,1.50X,30,2X,135,552.54,92642.77,92.64,1.37,3,4.47,9,0.73,0.81,6.28,8.8,8.8,17.61,8.8
M,50,0,0,10,15,1.50X,30,2X,135,521.92,102370.09,102.37,0,0,3.89,9,0.67,0.73,4.88,6.97,6.97,13.94,6.97
M,50,0,0,10,15,1.50X,30,2X,135,484.63,91616.16,91.62,0,0,3.09,5,0.76,0.81,8.2,9.02,9.02,18.05,9.02
M,50,0,0,10,15,1.50X,30,2X,135,456.22,95522.06,95.52,1.21,2,4.71,9,0.67,0.71,5.6,8.33,8.33,16.66,8.33
M,50,0,0,10,15,1.50X,30,2X,135,554.49,101047.27,101.05,0,0,4.39,8,0.71,0.74,6.52,8.08,8.08,16.15,8.08
M,50,0,0,10,15,1.50X,30,2X,135,546.28,88407.95,88.41,1.64,3,3.75,6,0.72,0.74,6.44,9.43,9.43,18.85,9.43
M,50,0,0,10,15,1.50X,30,2X,135,566.17,93299.34,93.3,0.34,1,4.06,7,0.75,0.8,5.56,9.39,9.39,18.78,9.39
M,50,0,0,10,15,1.50X,30,2X,135,500.97,103985.24,103.99,0,0,4.36,8,0.71,0.74,5.4,8.76,8.76,17.52,8.76
M,50,0,0,10,15,1.50X,30,2X,135,601.82,116430.31,116.43,1.48,3,5.51,10,0.73,0.82,3,7.83,7.83,15.66,7.83
M,50,0,0,10,15,1.50X,30,2X,135,528.95,102826.18,102.83,0.61,2,4.51,11,0.75,0.85,5.08,7.51,7.51,15.02,7.51
M,50,0,0,10,20,2X,30,1.50X,45,17.48,6474.14,6.47,0.57,1,1.46,2,0.71,0.7,22.12,19.55,19.55,39.09,19.55
M,50,0,0,10,20,2X,30,1.50X,45,91.44,10344.17,10.34,0,0,1.5,2,0.73,0.74,17,14.65,14.65,29.3,14.65
M,50,0,0,10,20,2X,30,1.50X,45,13.86,6474.88,6.47,0,0,1,1,0.69,0.7,11,15.83,15.83,31.66,15.83
M,50,0,0,10,20,2X,30,1.50X,45,25.33,5772.2,5.77,0,0,1,1,0.68,0.69,10.76,15.54,15.54,31.07,15.54
M,50,0,0,10,20,2X,30,1.50X,45,34.95,11232.37,11.23,0,0,1.59,2,0.69,0.66,11.56,17.54,17.54,35.08,17.54
M,50,0,0,10,20,2X,30,1.50X,45,23.06,6120.64,6.12,0,0,1,1,0.69,0.68,11.32,16.51,16.51,33.01,16.51
M,50,0,0,10,20,2X,30,1.50X,45,11.92,4902.8,4.9,0,0,1,1,0.7,0.7,11.08,18.08,18.08,36.16,18.08
M,50,0,0,10,20,2X,30,1.50X,45,7.06,5188.86,5.19,0,0,1,1,0.7,0.68,30.84,17.39,17.39,34.78,17.39
M,50,0,0,10,20,2X,30,1.50X,45,223.06,21074.51,21.07,0,0,1.36,2,0.67,0.71,11.56,11.15,11.15,22.29,11.15
M,50,0,0,10,20,2X,30,1.50X,45,9,5048.19,5.05,0,0,1,1,0.71,0.7,38.68,18.2,18.2,36.4,18.2
M,50,0,0,10,20,2X,30,1.50X,45,22.75,7462.59,7.46,0.59,1,1.56,2,0.69,0.68,37,16.25,16.25,32.49,16.25
M,50,0,0,10,20,2X,30,1.50X,45,20.38,5920.05,5.92,0,0,1,1,0.7,0.69,28.76,16.76,16.76,33.52,16.76
M,50,0,0,10,20,2X,30,1.50X,45,48.34,12924.87,12.92,0.64,1,1.62,2,0.68,0.66,14.92,16.38,16.38,32.76,16.38
M,50,0,0,10,20,2X,30,1.50X,45,5.79,4660.54,4.66,0,0,1,1,0.71,0.71,16.44,18.85,18.85,37.7,18.85
M,50,0,0,10,20,2X,30,1.50X,45,1.07,5316.34,5.32,0,0,1,1,0.71,0.7,25.96,17.73,17.73,35.47,17.73
M,50,0,0,10,20,2X,30,1.50X,45,32.34,6459.59,6.46,0,0,1,1,0.69,0.66,16.6,16.34,16.34,32.68,16.34
M,50,0,0,10,20,2X,30,1.50X,45,16.08,5660.88,5.66,0,0,1,1,0.71,0.69,23.48,17.55,17.55,35.09,17.55
M,50,0,0,10,20,2X,30,1.50X,45,8.88,5586.58,5.59,0,0,1,1,0.72,0.7,11.48,17.96,17.96,35.93,17.96
M,50,0,0,10,20,2X,30,1.50X,45,19.03,6049.01,6.05,0,0,1,1,0.71,0.7,18.52,16.78,16.78,33.57,16.78
M,50,0,0,10,20,2X,30,1.50X,45,17.26,5104.29,5.1,0,0,1,1,0.7,0.69,29.56,17.61,17.61,35.21,17.61
M,50,0,0,10,20,2X,30,1.50X,45,157.66,12831.82,12.83,0,0,1.45,2,0.72,0.75,20.04,13.13,13.13,26.27,13.13
M,50,0,0,10,20,2X,30,1.50X,45,32.41,5739.96,5.74,0,0,1,1,0.7,0.7,20.2,17.37,17.37,34.74,17.37
M,50,0,0,10,20,2X,30,1.50X,45,230.33,17805.65,17.81,0,0,1.66,3,0.74,0.81,7.32,12.53,12.53,25.05,12.53
M,50,0,0,10,20,2X,30,1.50X,45,10.6,4864.37,4.86,0,0,1,1,0.7,0.69,31.64,17.25,17.25,34.51,17.25
M,50,0,0,10,20,2X,30,1.50X,45,11.86,5321.32,5.32,0,0,1,1,0.69,0.67,14.24,17.38,17.38,34.76,17.38
M,50,0,0,10,20,2X,30,1.50X,90,80.62,18559.28,18.56,0.74,1,1.73,2,0.69,0.67,15.28,15.27,15.27,30.54,15.27
M,50,0,0,10,20,2X,30,1.50X,90,200.74,14475.27,14.48,0,0,1.45,2,0.71,0.73,11.04,12.84,12.84,25.68,12.84
M,50,0,0,10,20,2X,30,1.50X,90,385.81,75682.41,75.68,0,0,2.37,4,0.71,0.75,11.12,9.47,9.47,18.94,9.47
M,50,0,0,10,20,2X,30,1.50X,90,184.95,17004.34,17,0,0,1.28,2,0.64,0.65,9.68,10.18,10.18,20.37,10.18
M,50,0,0,10,20,2X,30,1.50X,90,218.87,46208.6,46.21,0,0,2.04,4,0.68,0.73,7.76,10.02,10.02,20.03,10.02
M,50,0,0,10,20,2X,30,1.50X,90,275.91,73356.61,73.36,0.65,1,3.44,5,0.63,0.63,8,10.64,10.64,21.29,10.64
M,50,0,0,10,20,2X,30,1.50X,90,55.46,12110.04,12.11,0.64,1,1.62,2,0.67,0.66,21.4,13.91,13.91,27.81,13.91
