mod,nAg,nOb,rRep,rOr,rOrX,rAt,rAtX,gr,inf,infnew,fouOLD,fou,dist,infneiOLD,infnei,infcom,exp,iso,isoLast,cco,ccoLast,cc,ccLast,degIn,degOut,degTot,avgDeg
M,50,0,20,30,1.50X,60,2X,4,16,0.32,41,82,231.4,39.57,0.79,1.75,-55.83,0,0,2.31,2,0.81,0.8,16.89,16.89,33.79,16.89
M,50,0,10,15,1.50X,30,2X,2,8,0.16,37,74,231.38,35.87,0.72,2.41,-13.48,0,0,2.79,3,0.81,0.89,12.18,12.18,24.35,12.18
M,50,0,20,30,1.50X,60,2X,4,8,0.16,24,48,231.22,32.83,0.66,2.49,-5.56,1.03,1,3.5,3,0.81,0.77,11.19,11.19,22.39,11.19
T7,50,0,10,20,2X,30,1.50X,4,24,0.48,38,76,231.17,48.08,0.96,3.34,-17.7,0,0,3.34,3,0.74,0.7,7,7,14,7
T7,50,0,10,20,2X,40,2X,4,24,0.48,38,76,231.17,48.08,0.96,3.34,-17.7,0,0,3.34,3,0.74,0.7,7,7,14,7
M,50,0,10,15,1.50X,22,1.50X,2,24,0.48,46,92,230.94,46.29,0.93,1.31,-48.73,1.26,2,3.2,4,0.67,0.64,11.8,11.8,23.6,11.8
T7,100,0,10,20,2X,30,1.50X,1,24,0.24,82,82,230.85,80.53,0.81,2.01,190.81,0,0,2.8,3,0.62,0.59,7,7,14,7
T7,100,0,10,20,2X,40,2X,1,24,0.24,82,82,230.85,80.53,0.81,2.01,190.81,0,0,2.8,3,0.62,0.59,7,7,14,7
M,50,0,10,15,1.50X,22,1.50X,2,8,0.16,26,52,230.36,24.15,0.48,2.29,79.06,1.49,1,4.23,5,0.67,0.71,7.9,7.9,15.8,7.9
M,50,0,10,20,2X,30,1.50X,4,16,0.32,38,76,230.35,49.03,0.98,3.83,-28.66,0,0,3.83,3,0.87,0.86,9.83,9.83,19.66,9.83
M,50,0,10,20,2X,40,2X,2,8,0.16,39,78,230.25,42.8,0.86,1.25,-23.12,0,0,1.64,2,0.84,0.86,21.46,21.46,42.92,21.46
M,50,0,10,20,2X,30,1.50X,4,24,0.48,39,78,230.1,48.09,0.96,3.05,-39.47,0.15,0,3.05,2,0.81,0.76,12.72,12.72,25.45,12.72
T7,50,0,20,30,1.50X,45,1.50X,4,24,0.48,41,82,229.98,49.74,0.99,1.83,-38.7,0,0,1.83,2,0.66,0.6,7,7,14,7
T7,50,0,20,30,1.50X,60,2X,4,24,0.48,41,82,229.98,49.74,0.99,1.83,-38.7,0,0,1.83,2,0.66,0.6,7,7,14,7
M,200,0,10,15,1.50X,30,2X,2,16,0.08,180,90,229.97,194.35,0.97,1.58,-14.55,0,0,1.58,2,0.69,0.7,37.83,37.83,75.65,37.83
T7,50,0,20,30,1.50X,45,1.50X,2,24,0.48,36,72,229.88,46.31,0.93,2.65,22.63,0,0,2.65,2,0.69,0.6,7,7,14,7
T7,50,0,20,30,1.50X,60,2X,2,24,0.48,36,72,229.88,46.31,0.93,2.65,22.63,0,0,2.65,2,0.69,0.6,7,7,14,7
T7,50,0,20,40,2X,60,1.50X,2,24,0.48,40,80,229.69,49.99,1,1.84,-28.49,0,0,1.84,2,0.62,0.58,7,7,14,7
T7,50,0,20,40,2X,80,2X,2,24,0.48,40,80,229.69,49.99,1,1.84,-28.49,0,0,1.84,2,0.62,0.58,7,7,14,7
