mod,nAg,nOb,rRep,rOr,rOrX,rAt,rAtX,gr,inf,infnew,fouOLD,fou,dist,infneiOLD,infnei,infcom,exp,iso,isoLast,cco,ccoLast,cc,ccLast,degIn,degOut,degTot,avgDeg
M,50,0,10,15,1.50X,30,2X,2,8,0.16,25,50,82.25,38.39,0.77,2.27,2.01,0,0,2.27,3,0.8,0.82,12.75,12.75,25.5,12.75
T7,100,0,20,30,1.50X,45,1.50X,4,8,0.08,56,56,82.24,45.82,0.46,1.89,-41.96,0,0,2.6,3,0.64,0.62,7,7,14,7
T7,100,0,20,30,1.50X,60,2X,4,8,0.08,56,56,82.24,45.82,0.46,1.89,-41.96,0,0,2.6,3,0.64,0.62,7,7,14,7
V,200,0,10,15,1.50X,22,1.50X,1,16,0.08,190,95,82.2,178.33,0.89,1,58.65,0.1,0,1.1,1,0.37,0.37,11.89,11.89,23.78,11.89
V,200,0,10,15,1.50X,30,2X,1,16,0.08,190,95,82.2,178.33,0.89,1,58.65,0.1,0,1.1,1,0.37,0.37,11.89,11.89,23.78,11.89
V,100,0,20,40,2X,60,1.50X,2,16,0.16,18,18,82.2,82.93,0.83,1,-25.24,0.03,0,1.03,1,0.4,0.39,10.76,10.76,21.53,10.76
V,100,0,20,40,2X,80,2X,2,16,0.16,18,18,82.2,82.93,0.83,1,-25.24,0.03,0,1.03,1,0.4,0.39,10.76,10.76,21.53,10.76
M,100,0,10,15,1.50X,22,1.50X,2,8,0.08,84,84,82.15,63.37,0.63,2.98,-60.13,1.54,1,4.5,5,0.65,0.68,11.24,11.24,22.47,11.24
T7,100,0,20,40,2X,60,1.50X,4,24,0.24,90,90,82.14,86.92,0.87,1.78,-70.33,0,0,1.78,1,0.56,0.52,7,7,14,7
T7,100,0,20,40,2X,80,2X,4,24,0.24,90,90,82.14,86.92,0.87,1.78,-70.33,0,0,1.78,1,0.56,0.52,7,7,14,7
T7,50,0,10,15,1.50X,22,1.50X,1,16,0.32,35,70,82.11,25.9,0.52,1.36,159.75,0,0,1.84,2,0.71,0.7,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,1,16,0.32,35,70,82.11,25.9,0.52,1.36,159.75,0,0,1.84,2,0.71,0.7,7,7,14,7
M,50,0,10,15,1.50X,22,1.50X,2,8,0.16,22,44,82.11,20.09,0.4,2.89,6.91,1.32,1,5.19,5,0.67,0.77,6,6,11.99,6
T7,100,0,10,15,1.50X,22,1.50X,1,24,0.24,62,62,82.07,89.32,0.89,2.54,213.64,0,0,2.54,3,0.59,0.57,7,7,14,7
T7,100,0,10,15,1.50X,30,2X,1,24,0.24,62,62,82.07,89.32,0.89,2.54,213.64,0,0,2.54,3,0.59,0.57,7,7,14,7
M,50,0,20,30,1.50X,60,2X,2,8,0.16,25,50,82.06,47.2,0.94,2,15.74,0,0,2,2,0.8,0.78,15,15,30,15
M,100,0,10,15,1.50X,30,2X,4,24,0.24,76,76,82.04,98.85,0.99,3.57,-65.28,0.5,1,3.61,3,0.77,0.73,17.31,17.31,34.63,17.31
T7,200,0,20,30,1.50X,45,1.50X,1,24,0.12,127,63.5,82.03,171.24,0.86,1.63,211.34,0,0,1.63,1,0.52,0.47,7,7,14,7
T7,200,0,20,30,1.50X,60,2X,1,24,0.12,127,63.5,82.03,171.24,0.86,1.63,211.34,0,0,1.63,1,0.52,0.47,7,7,14,7
T7,200,0,10,20,2X,30,1.50X,4,16,0.08,135,67.5,82.02,142,0.71,3.74,-34.23,0,0,4.65,3,0.62,0.54,7,7,14,7
T7,200,0,10,20,2X,40,2X,4,16,0.08,135,67.5,82.02,142,0.71,3.74,-34.23,0,0,4.65,3,0.62,0.54,7,7,14,7
M,100,0,10,15,1.50X,22,1.50X,2,8,0.08,68,68,81.99,64.7,0.65,2.05,-24.38,0.01,0,3.74,4,0.66,0.67,10.8,10.8,21.6,10.8
M,100,0,10,15,1.50X,22,1.50X,4,8,0.08,69,69,81.98,52.7,0.53,4.27,-39.74,1.2,1,6.42,5,0.69,0.7,9.82,9.82,19.65,9.82
T7,100,0,10,20,2X,30,1.50X,2,8,0.08,70,70,81.96,42.42,0.42,1.66,-22.62,0,0,3.5,3,0.65,0.57,7,7,14,7
T7,100,0,10,20,2X,40,2X,2,8,0.08,70,70,81.96,42.42,0.42,1.66,-22.62,0,0,3.5,3,0.65,0.57,7,7,14,7
M,100,0,10,15,1.50X,30,2X,2,16,0.16,77,77,81.95,92.37,0.92,2.15,-6.79,0,0,2.15,3,0.74,0.76,21.95,21.95,43.91,21.95
T7,100,0,10,15,1.50X,22,1.50X,2,8,0.08,70,70,81.91,48.13,0.48,2.3,-58.88,0,0,3.79,3,0.64,0.58,7,7,14,7
T7,100,0,10,15,1.50X,30,2X,2,8,0.08,70,70,81.91,48.13,0.48,2.3,-58.88,0,0,3.79,3,0.64,0.58,7,7,14,7
M,200,0,10,15,1.50X,22,1.50X,1,8,0.04,83,41.5,81.85,145.96,0.73,1.91,142.65,0.05,0,2.05,3,0.62,0.7,16.87,16.87,33.75,16.87
M,50,0,10,15,1.50X,22,1.50X,4,24,0.48,49,98,81.84,39.9,0.8,3.8,-64.28,1.13,1,4.98,3,0.72,0.65,6.4,6.4,12.79,6.4
M,50,0,10,20,2X,30,1.50X,4,16,0.32,27,54,81.84,46.17,0.92,3.51,-33.76,0,0,3.51,3,0.83,0.75,10.86,10.86,21.72,10.86
T7,100,0,10,20,2X,30,1.50X,4,16,0.16,89,89,81.72,67.53,0.68,1.99,-62.18,0,0,2.83,3,0.64,0.6,7,7,14,7
T7,100,0,10,20,2X,40,2X,4,16,0.16,89,89,81.72,67.53,0.68,1.99,-62.18,0,0,2.83,3,0.64,0.6,7,7,14,7
M,50,0,10,20,2X,40,2X,4,16,0.32,27,54,81.68,47.74,0.95,4,-47.66,0,0,4.31,5,0.96,0.97,10.32,10.32,20.63,10.32
T7,50,0,20,30,1.50X,45,1.50X,1,8,0.16,26,52,81.63,24.21,0.48,1.75,158.9,0,0,1.75,1,0.62,0.59,7,7,14,7
T7,50,0,20,30,1.50X,60,2X,1,8,0.16,26,52,81.63,24.21,0.48,1.75,158.9,0,0,1.75,1,0.62,0.59,7,7,14,7
M,100,0,10,15,1.50X,30,2X,2,8,0.08,57,57,81.62,55.44,0.55,2.41,-30.12,0.47,0,2.42,1,0.73,0.69,19.54,19.54,39.07,19.54
M,50,0,10,20,2X,30,1.50X,4,16,0.32,26,52,81.61,45.77,0.92,3.54,-22.05,0,0,3.54,3,0.85,0.84,9.73,9.73,19.45,9.73
T7,100,0,10,20,2X,30,1.50X,4,24,0.24,77,77,81.49,77.34,0.77,2.51,-61,0,0,3.37,3,0.64,0.56,7,7,14,7
T7,100,0,10,20,2X,40,2X,4,24,0.24,77,77,81.49,77.34,0.77,2.51,-61,0,0,3.37,3,0.64,0.56,7,7,14,7
M,100,0,10,15,1.50X,22,1.50X,2,16,0.16,50,50,81.46,75.79,0.76,2.57,-14.34,0.43,1,3.17,3,0.66,0.66,10.96,10.96,21.93,10.96
T7,200,0,10,15,1.50X,22,1.50X,2,24,0.12,162,81,81.41,169.08,0.85,4,-54.6,0,0,4.01,2,0.6,0.51,7,7,14,7
T7,200,0,10,15,1.50X,30,2X,2,24,0.12,162,81,81.41,169.08,0.85,4,-54.6,0,0,4.01,2,0.6,0.51,7,7,14,7
M,100,0,10,15,1.50X,22,1.50X,1,24,0.24,59,59,81.4,85.83,0.86,2.43,268.78,0.05,1,2.94,8,0.67,0.71,11.84,11.84,23.68,11.84
T7,100,0,10,15,1.50X,22,1.50X,1,8,0.08,39,39,81.4,45.94,0.46,2.13,249.45,0,0,2.95,3,0.62,0.58,7,7,14,7
T7,100,0,10,15,1.50X,30,2X,1,8,0.08,39,39,81.4,45.94,0.46,2.13,249.45,0,0,2.95,3,0.62,0.58,7,7,14,7
T7,200,0,10,15,1.50X,22,1.50X,2,16,0.08,127,63.5,81.38,147.89,0.74,4.07,-27.97,0,0,4.47,2,0.61,0.59,7,7,14,7
T7,200,0,10,15,1.50X,30,2X,2,16,0.08,127,63.5,81.38,147.89,0.74,4.07,-27.97,0,0,4.47,2,0.61,0.59,7,7,14,7
M,50,0,10,15,1.50X,22,1.50X,2,24,0.48,26,52,81.37,39.13,0.78,3.29,16.03,0.9,2,5.31,7,0.65,0.68,6.82,6.82,13.64,6.82
M,100,0,20,40,2X,80,2X,4,8,0.08,44,44,81.3,99.77,1,2.33,-48.12,0,0,2.33,1,0.85,0.74,27.28,27.28,54.56,27.28
V,200,0,10,15,1.50X,22,1.50X,1,8,0.04,175,87.5,81.28,131.64,0.66,1,109.16,0.14,0,1.14,1,0.36,0.34,11.92,11.92,23.84,11.92
V,200,0,10,15,1.50X,30,2X,1,8,0.04,175,87.5,81.28,131.64,0.66,1,109.16,0.14,0,1.14,1,0.36,0.34,11.92,11.92,23.84,11.92
M,100,0,10,15,1.50X,22,1.50X,4,16,0.16,98,98,81.27,85.47,0.85,2.23,-75.28,0,0,3.16,2,0.65,0.68,12.21,12.21,24.42,12.21
T7,200,0,10,20,2X,30,1.50X,2,16,0.08,157,78.5,81.25,140.89,0.7,3.63,-19.2,0,0,4.15,3,0.59,0.57,7,7,14,7
T7,200,0,10,20,2X,40,2X,2,16,0.08,157,78.5,81.25,140.89,0.7,3.63,-19.2,0,0,4.15,3,0.59,0.57,7,7,14,7
M,200,0,10,15,1.50X,30,2X,4,24,0.12,197,98.5,81.23,185.84,0.93,1.74,-71.58,0,0,3.21,2,0.71,0.74,34.45,34.45,68.91,34.45
M,200,0,20,30,1.50X,45,1.50X,2,24,0.12,159,79.5,81.2,178.72,0.89,1.19,2.71,0,0,1.51,2,0.66,0.67,30.22,30.22,60.45,30.22
M,50,0,10,15,1.50X,30,2X,2,24,0.48,38,76,81.12,37.71,0.75,3.21,1.83,0.79,1,4.94,5,0.77,0.81,9.48,9.48,18.96,9.48
T7,50,0,10,15,1.50X,22,1.50X,1,24,0.48,20,40,81.02,34.84,0.7,1.68,259.6,0,0,1.95,3,0.67,0.71,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,1,24,0.48,20,40,81.02,34.84,0.7,1.68,259.6,0,0,1.95,3,0.67,0.71,7,7,14,7
T7,200,0,20,40,2X,60,1.50X,1,16,0.08,122,61,81.01,137.84,0.69,1,185.4,0,0,1,1,0.49,0.47,7,7,14,7
T7,200,0,20,40,2X,80,2X,1,16,0.08,122,61,81.01,137.84,0.69,1,185.4,0,0,1,1,0.49,0.47,7,7,14,7
V,200,0,10,15,1.50X,22,1.50X,1,16,0.08,193,96.5,80.99,169.87,0.85,1,34.95,0.2,1,1.21,2,0.36,0.35,12.09,12.09,24.17,12.09
V,200,0,10,15,1.50X,30,2X,1,16,0.08,193,96.5,80.99,169.87,0.85,1,34.95,0.2,1,1.21,2,0.36,0.35,12.09,12.09,24.17,12.09
M,100,0,10,20,2X,30,1.50X,4,8,0.08,75,75,80.97,93.63,0.94,3.16,-47.35,0,0,3.16,2,0.78,0.73,19.03,19.03,38.07,19.03
V,200,0,20,40,2X,60,1.50X,2,8,0.04,131,65.5,80.96,143.57,0.72,1,-5.93,0,0,1,1,0.38,0.37,12.01,12.01,24.03,12.01
V,200,0,20,40,2X,80,2X,2,8,0.04,131,65.5,80.96,143.57,0.72,1,-5.93,0,0,1,1,0.38,0.37,12.01,12.01,24.03,12.01
V,200,0,20,30,1.50X,45,1.50X,4,16,0.08,153,76.5,80.89,165.92,0.83,1,-29.32,0.15,0,1.15,1,0.37,0.37,12.03,12.03,24.05,12.03
V,200,0,20,30,1.50X,60,2X,4,16,0.08,153,76.5,80.89,165.92,0.83,1,-29.32,0.15,0,1.15,1,0.37,0.37,12.03,12.03,24.05,12.03
V,200,0,10,15,1.50X,22,1.50X,2,24,0.12,198,99,80.87,183.62,0.92,1,-65.7,0.14,0,1.14,1,0.36,0.34,12.19,12.19,24.39,12.19
V,200,0,10,15,1.50X,30,2X,2,24,0.12,198,99,80.87,183.62,0.92,1,-65.7,0.14,0,1.14,1,0.36,0.34,12.19,12.19,24.39,12.19
V,50,0,10,15,1.50X,22,1.50X,1,16,0.32,47,94,80.84,38.9,0.78,1,25.35,0.35,1,1.44,2,0.4,0.4,7.97,7.97,15.94,7.97
V,50,0,10,15,1.50X,30,2X,1,16,0.32,47,94,80.84,38.9,0.78,1,25.35,0.35,1,1.44,2,0.4,0.4,7.97,7.97,15.94,7.97
M,50,0,20,30,1.50X,45,1.50X,4,16,0.32,43,86,80.8,40.66,0.81,3.02,-59.15,0.12,0,4.29,2,0.66,0.65,7.95,7.95,15.9,7.95
T7,100,0,10,15,1.50X,22,1.50X,1,24,0.24,62,62,80.79,93.97,0.94,2.37,149.55,0,0,2.37,2,0.63,0.59,7,7,14,7
T7,100,0,10,15,1.50X,30,2X,1,24,0.24,62,62,80.79,93.97,0.94,2.37,149.55,0,0,2.37,2,0.63,0.59,7,7,14,7
V,50,0,20,30,1.50X,45,1.50X,4,16,0.32,4,8,80.77,43,0.86,1,-59.13,0.04,1,1.04,2,0.44,0.41,9.64,9.64,19.29,9.64
V,50,0,20,30,1.50X,60,2X,4,16,0.32,4,8,80.77,43,0.86,1,-59.13,0.04,1,1.04,2,0.44,0.41,9.64,9.64,19.29,9.64
T7,200,0,10,15,1.50X,22,1.50X,2,24,0.12,155,77.5,80.76,171.31,0.86,2.3,-13.22,0,0,2.3,2,0.57,0.54,7,7,14,7
T7,200,0,10,15,1.50X,30,2X,2,24,0.12,155,77.5,80.76,171.31,0.86,2.3,-13.22,0,0,2.3,2,0.57,0.54,7,7,14,7
V,200,0,10,15,1.50X,22,1.50X,4,16,0.08,191,95.5,80.65,169.45,0.85,1,-68.24,0.2,0,1.2,1,0.36,0.37,12.11,12.11,24.21,12.11
V,200,0,10,15,1.50X,30,2X,4,16,0.08,191,95.5,80.65,169.45,0.85,1,-68.24,0.2,0,1.2,1,0.36,0.37,12.11,12.11,24.21,12.11
M,200,0,20,30,1.50X,45,1.50X,1,24,0.12,152,76,80.62,178.35,0.89,1,177.24,0.28,0,2.02,1,0.64,0.66,24.04,24.04,48.07,24.04
M,200,0,20,30,1.50X,60,2X,4,8,0.04,156,78,80.49,183,0.92,1.56,-52.92,0,0,1.56,1,0.72,0.73,39.09,39.09,78.18,39.09
T7,100,0,10,15,1.50X,22,1.50X,2,16,0.16,69,69,80.38,77.09,0.77,2.29,-65.17,0,0,2.38,2,0.61,0.59,7,7,14,7
T7,100,0,10,15,1.50X,30,2X,2,16,0.16,69,69,80.38,77.09,0.77,2.29,-65.17,0,0,2.38,2,0.61,0.59,7,7,14,7
T7,200,0,20,40,2X,60,1.50X,1,24,0.12,163,81.5,80.34,153.06,0.77,1,150.73,0,0,1,1,0.49,0.49,7,7,14,7
T7,200,0,20,40,2X,80,2X,1,24,0.12,163,81.5,80.34,153.06,0.77,1,150.73,0,0,1,1,0.49,0.49,7,7,14,7
T7,100,0,10,15,1.50X,22,1.50X,4,24,0.24,93,93,80.31,72.94,0.73,2.18,-44.02,0,0,2.77,1,0.65,0.61,7,7,14,7
T7,100,0,10,15,1.50X,30,2X,4,24,0.24,93,93,80.31,72.94,0.73,2.18,-44.02,0,0,2.77,1,0.65,0.61,7,7,14,7
M,200,0,10,15,1.50X,30,2X,4,16,0.08,184,92,80.27,190.24,0.95,2.97,-68.64,0.17,0,3.79,2,0.72,0.7,25.78,25.78,51.56,25.78
M,50,0,20,30,1.50X,60,2X,4,8,0.16,26,52,80.27,42.47,0.85,2.92,-60.45,0,0,2.92,1,0.84,0.74,12.06,12.06,24.12,12.06
T7,200,0,20,40,2X,60,1.50X,2,8,0.04,137,68.5,80.25,100.82,0.5,1.15,-18.92,0,0,1.15,1,0.53,0.5,7,7,14,7
T7,200,0,20,40,2X,80,2X,2,8,0.04,137,68.5,80.25,100.82,0.5,1.15,-18.92,0,0,1.15,1,0.53,0.5,7,7,14,7
V,200,0,10,15,1.50X,22,1.50X,4,8,0.04,176,88,80.21,134.06,0.67,1,-61.94,0.01,0,1.01,1,0.36,0.39,11.86,11.86,23.71,11.86
V,200,0,10,15,1.50X,30,2X,4,8,0.04,176,88,80.21,134.06,0.67,1,-61.94,0.01,0,1.01,1,0.36,0.39,11.86,11.86,23.71,11.86
M,200,0,10,15,1.50X,22,1.50X,1,8,0.04,117,58.5,80.18,109.49,0.55,2.11,256.73,0.83,1,5.13,6,0.64,0.68,14.27,14.27,28.54,14.27
V,50,0,10,15,1.50X,22,1.50X,2,16,0.32,40,80,80.13,41.23,0.82,1.01,-44.59,0.6,1,1.62,2,0.37,0.34,8.45,8.45,16.89,8.45
V,50,0,10,15,1.50X,30,2X,2,16,0.32,40,80,80.13,41.23,0.82,1.01,-44.59,0.6,1,1.62,2,0.37,0.34,8.45,8.45,16.89,8.45
M,100,0,20,30,1.50X,60,2X,1,16,0.16,67,67,80.12,96.49,0.96,1,187.88,0,0,1,1,0.7,0.76,27.51,27.51,55.01,27.51
V,100,0,10,15,1.50X,22,1.50X,4,8,0.08,88,88,80.06,62.87,0.63,1,-78.23,0.12,0,1.12,1,0.37,0.35,10.53,10.53,21.07,10.53
V,100,0,10,15,1.50X,30,2X,4,8,0.08,88,88,80.06,62.87,0.63,1,-78.23,0.12,0,1.12,1,0.37,0.35,10.53,10.53,21.07,10.53
T7,200,0,10,20,2X,30,1.50X,1,8,0.04,68,34,80.06,93.79,0.47,3.51,204.97,0,0,3.51,1,0.56,0.56,7,7,14,7
T7,200,0,10,20,2X,40,2X,1,8,0.04,68,34,80.06,93.79,0.47,3.51,204.97,0,0,3.51,1,0.56,0.56,7,7,14,7
M,200,0,10,15,1.50X,22,1.50X,2,16,0.08,113,56.5,80.04,166.1,0.83,5.6,-5.53,0.71,0,6.88,6,0.65,0.69,12.73,12.73,25.47,12.73
T7,200,0,20,30,1.50X,45,1.50X,1,8,0.04,118,59,80.03,75.9,0.38,1.15,214.09,0,0,1.15,1,0.51,0.51,7,7,14,7
T7,200,0,20,30,1.50X,60,2X,1,8,0.04,118,59,80.03,75.9,0.38,1.15,214.09,0,0,1.15,1,0.51,0.51,7,7,14,7
T7,200,0,20,40,2X,60,1.50X,4,8,0.04,117,58.5,80.02,101.66,0.51,1.38,-43.21,0,0,1.38,1,0.53,0.49,7,7,14,7
T7,200,0,20,40,2X,80,2X,4,8,0.04,117,58.5,80.02,101.66,0.51,1.38,-43.21,0,0,1.38,1,0.53,0.49,7,7,14,7
T7,200,0,20,40,2X,60,1.50X,2,24,0.12,169,84.5,79.99,173.25,0.87,1.1,-13.43,0,0,1.1,1,0.5,0.49,7,7,14,7
T7,200,0,20,40,2X,80,2X,2,24,0.12,169,84.5,79.99,173.25,0.87,1.1,-13.43,0,0,1.1,1,0.5,0.49,7,7,14,7
T7,200,0,20,40,2X,60,1.50X,1,24,0.12,153,76.5,79.99,166.1,0.83,1,162.36,0,0,1,1,0.49,0.5,7,7,14,7
T7,200,0,20,40,2X,80,2X,1,24,0.12,153,76.5,79.99,166.1,0.83,1,162.36,0,0,1,1,0.49,0.5,7,7,14,7
T7,50,0,20,30,1.50X,45,1.50X,1,8,0.16,9,18,79.98,16.99,0.34,1.83,244.57,0,0,2.45,3,0.69,0.77,7,7,14,7
T7,50,0,20,30,1.50X,60,2X,1,8,0.16,9,18,79.98,16.99,0.34,1.83,244.57,0,0,2.45,3,0.69,0.77,7,7,14,7
T7,50,0,20,30,1.50X,45,1.50X,2,16,0.32,39,78,79.91,29.11,0.58,1.43,-29.76,0,0,2.16,2,0.69,0.62,7,7,14,7
T7,50,0,20,30,1.50X,60,2X,2,16,0.32,39,78,79.91,29.11,0.58,1.43,-29.76,0,0,2.16,2,0.69,0.62,7,7,14,7
M,200,0,10,15,1.50X,22,1.50X,2,8,0.04,136,68,79.89,127.19,0.64,3.18,-2.36,0.99,0,4,4,0.65,0.64,14.8,14.8,29.59,14.8
V,200,0,10,15,1.50X,22,1.50X,1,24,0.12,165,82.5,79.8,179,0.9,1,92.9,0.57,0,1.59,1,0.37,0.37,11.79,11.79,23.59,11.79
V,200,0,10,15,1.50X,30,2X,1,24,0.12,165,82.5,79.8,179,0.9,1,92.9,0.57,0,1.59,1,0.37,0.37,11.79,11.79,23.59,11.79
M,50,0,10,15,1.50X,30,2X,1,8,0.16,25,50,79.8,29.87,0.6,2.16,152.31,0,0,2.72,4,0.71,0.76,15.92,15.92,31.83,15.92
T7,200,0,10,15,1.50X,22,1.50X,1,24,0.12,162,81,79.78,158.82,0.79,3.89,171.72,0,0,4.08,3,0.6,0.55,7,7,14,7
T7,200,0,10,15,1.50X,30,2X,1,24,0.12,162,81,79.78,158.82,0.79,3.89,171.72,0,0,4.08,3,0.6,0.55,7,7,14,7
M,200,0,20,30,1.50X,60,2X,2,8,0.04,179,89.5,79.73,175.58,0.88,1.07,-24.37,0.82,1,3.9,3,0.72,0.72,40.76,40.76,81.52,40.76
T7,100,0,20,40,2X,60,1.50X,2,8,0.08,70,70,79.73,47.34,0.47,1.28,-54.27,0,0,1.91,1,0.58,0.55,7,7,14,7
T7,100,0,20,40,2X,80,2X,2,8,0.08,70,70,79.73,47.34,0.47,1.28,-54.27,0,0,1.91,1,0.58,0.55,7,7,14,7
T7,100,0,20,30,1.50X,45,1.50X,4,24,0.24,75,75,79.7,89.69,0.9,1.62,-51.8,0,0,1.62,1,0.6,0.51,7,7,14,7
T7,100,0,20,30,1.50X,60,2X,4,24,0.24,75,75,79.7,89.69,0.9,1.62,-51.8,0,0,1.62,1,0.6,0.51,7,7,14,7
M,200,0,10,20,2X,40,2X,2,8,0.04,190,95,79.67,190.07,0.95,1.19,-61.18,0,0,1.41,2,0.74,0.78,58.53,58.53,117.06,58.53
T7,100,0,10,15,1.50X,22,1.50X,1,8,0.08,42,42,79.67,48.21,0.48,2.18,279.54,0,0,2.82,3,0.63,0.61,7,7,14,7
T7,100,0,10,15,1.50X,30,2X,1,8,0.08,42,42,79.67,48.21,0.48,2.18,279.54,0,0,2.82,3,0.63,0.61,7,7,14,7
T7,200,0,10,15,1.50X,22,1.50X,2,24,0.12,162,81,79.66,169.4,0.85,3.13,-40.23,0,0,3.13,2,0.57,0.55,7,7,14,7
T7,200,0,10,15,1.50X,30,2X,2,24,0.12,162,81,79.66,169.4,0.85,3.13,-40.23,0,0,3.13,2,0.57,0.55,7,7,14,7
M,100,0,10,15,1.50X,22,1.50X,1,16,0.16,94,94,79.63,68.55,0.69,2.95,61.85,0.12,0,4.27,4,0.63,0.6,14.29,14.29,28.59,14.29
M,100,0,10,15,1.50X,22,1.50X,2,8,0.08,61,61,79.61,64.66,0.65,2.25,-28.39,0.11,1,2.51,5,0.67,0.73,12.45,12.45,24.9,12.45
V,200,0,10,20,2X,30,1.50X,4,24,0.12,196,98,79.54,190.17,0.95,1,-83.3,0.15,1,1.16,3,0.35,0.35,12.1,12.1,24.2,12.1
V,200,0,10,20,2X,40,2X,4,24,0.12,196,98,79.54,190.17,0.95,1,-83.3,0.15,1,1.16,3,0.35,0.35,12.1,12.1,24.2,12.1
M,50,0,20,30,1.50X,60,2X,2,16,0.32,43,86,79.48,43.91,0.88,1.78,-45.76,0,0,2.63,3,0.81,0.83,14.42,14.42,28.84,14.42
M,100,0,20,30,1.50X,60,2X,1,8,0.08,30,30,79.48,54.51,0.55,1.57,227.52,0.09,0,2.32,1,0.74,0.7,18.98,18.98,37.96,18.98
M,50,0,10,15,1.50X,22,1.50X,4,24,0.48,45,90,79.42,39.23,0.78,3.11,-66.26,1.08,2,5.14,5,0.69,0.66,7.88,7.88,15.77,7.88
M,100,0,20,40,2X,80,2X,1,24,0.24,97,97,79.41,99.35,0.99,1,68.75,0,0,1.21,2,0.79,0.79,56.64,56.64,113.29,56.64
M,100,0,10,15,1.50X,22,1.50X,4,16,0.16,97,97,79.38,77.82,0.78,3.67,-51.74,1.15,1,4.73,4,0.68,0.68,9.7,9.7,19.4,9.7
V,100,0,20,40,2X,60,1.50X,1,16,0.16,3,3,79.38,86.94,0.87,1,101.89,0,0,1,1,0.4,0.39,11.24,11.24,22.49,11.24
V,100,0,20,40,2X,80,2X,1,16,0.16,3,3,79.38,86.94,0.87,1,101.89,0,0,1,1,0.4,0.39,11.24,11.24,22.49,11.24
M,200,0,10,15,1.50X,30,2X,2,8,0.04,188,94,79.35,176.24,0.88,1.19,-64.88,0,0,1.79,2,0.7,0.67,38.4,38.4,76.79,38.4
V,100,0,20,30,1.50X,45,1.50X,1,8,0.08,23,23,79.34,57.6,0.58,1,80.31,0.04,0,1.04,1,0.4,0.41,10.63,10.63,21.27,10.63
V,100,0,20,30,1.50X,60,2X,1,8,0.08,23,23,79.34,57.6,0.58,1,80.31,0.04,0,1.04,1,0.4,0.41,10.63,10.63,21.27,10.63
M,100,0,10,15,1.50X,22,1.50X,1,16,0.16,77,77,79.29,77.37,0.77,1.91,105.87,1.39,0,5.31,3,0.65,0.68,11.69,11.69,23.39,11.69
M,200,0,10,15,1.50X,22,1.50X,2,8,0.04,46,23,79.22,127.68,0.64,3.35,-33.23,0.57,1,5.38,3,0.64,0.59,15.66,15.66,31.32,15.66
M,100,0,10,15,1.50X,22,1.50X,1,16,0.16,90,90,79.14,81.94,0.82,1,61.15,0.04,0,1.88,2,0.66,0.66,16.07,16.07,32.14,16.07
T7,200,0,10,20,2X,30,1.50X,1,16,0.08,139,69.5,79.14,148.59,0.74,3.02,203.29,0,0,3.43,2,0.57,0.58,7,7,14,7
T7,200,0,10,20,2X,40,2X,1,16,0.08,139,69.5,79.14,148.59,0.74,3.02,203.29,0,0,3.43,2,0.57,0.58,7,7,14,7
T7,200,0,20,40,2X,60,1.50X,1,16,0.08,126,63,79.14,137.36,0.69,1,236.11,0,0,1,1,0.49,0.48,7,7,14,7
T7,200,0,20,40,2X,80,2X,1,16,0.08,126,63,79.14,137.36,0.69,1,236.11,0,0,1,1,0.49,0.48,7,7,14,7
T7,100,0,10,20,2X,30,1.50X,1,16,0.16,83,83,79.1,70.59,0.71,2.34,97.51,0,0,2.37,3,0.59,0.63,7,7,14,7
T7,100,0,10,20,2X,40,2X,1,16,0.16,83,83,79.1,70.59,0.71,2.34,97.51,0,0,2.37,3,0.59,0.63,7,7,14,7
T7,50,0,20,40,2X,60,1.50X,2,24,0.48,40,80,79.09,49.58,0.99,1.86,-26.3,0,0,1.86,2,0.66,0.59,7,7,14,7
T7,50,0,20,40,2X,80,2X,2,24,0.48,40,80,79.09,49.58,0.99,1.86,-26.3,0,0,1.86,2,0.66,0.59,7,7,14,7
T7,200,0,20,30,1.50X,45,1.50X,1,8,0.04,148,74,79.09,97.88,0.49,1,172.4,0,0,1,1,0.49,0.48,7,7,14,7
T7,200,0,20,30,1.50X,60,2X,1,8,0.04,148,74,79.09,97.88,0.49,1,172.4,0,0,1,1,0.49,0.48,7,7,14,7
M,100,0,10,15,1.50X,22,1.50X,4,8,0.08,75,75,79.03,52.79,0.53,3.31,-61.98,1.13,0,4.16,3,0.67,0.67,10.38,10.38,20.76,10.38
T7,50,0,10,15,1.50X,22,1.50X,1,24,0.48,38,76,79.01,47.65,0.95,1.84,160.97,0,0,1.84,2,0.61,0.61,7,7,14,7
T7,50,0,10,15,1.50X,30,2X,1,24,0.48,38,76,79.01,47.65,0.95,1.84,160.97,0,0,1.84,2,0.61,0.61,7,7,14,7
T7,200,0,20,30,1.50X,45,1.50X,1,24,0.12,139,69.5,78.91,164.39,0.82,1.06,190.22,0,0,1.06,1,0.51,0.49,7,7,14,7
T7,200,0,20,30,1.50X,60,2X,1,24,0.12,139,69.5,78.91,164.39,0.82,1.06,190.22,0,0,1.06,1,0.51,0.49,7,7,14,7
