mod,nAg,rRep,rOr,rOrX,rAt,rAtX,trial,iso,cco,exp,cc,degIn,degOut,avgDeg,degTot,astk,dirOld,dir,iter,inf,sstk,fda
M,200,10,15,1.50X,22,1.50X,18,7.2,18.38,-54.36,0.64,11.5,11.5,11.5,23,63,4.14,0.02,780,0.13,417,0.48
M,200,10,15,1.50X,22,1.50X,19,6.31,16.39,28.98,0.63,13.44,13.44,13.44,26.87,64,0.71,0,814,0.02,780,0.1
M,200,10,15,1.50X,22,1.50X,2,6.9,17.31,-23.57,0.64,11,11,11,22,54,1.58,0.01,1304,0.06,427,0.28
M,200,10,15,1.50X,22,1.50X,20,4.59,14.46,-19.07,0.66,10.67,10.67,10.67,21.33,30,0.59,0,1685,0.01,179,0.2
M,200,10,15,1.50X,22,1.50X,21,4.3,16.35,-15.57,0.63,9.99,9.99,9.99,19.99,33,3.42,0.02,997,0.12,476,0.71
M,200,10,15,1.50X,22,1.50X,22,5.19,17.38,-17.03,0.66,9.8,9.8,9.8,19.6,46,2.14,0.01,609,0.07,501,0.37
M,200,10,15,1.50X,22,1.50X,23,4.79,16.95,21.97,0.66,8.53,8.53,8.53,17.07,38,1.96,0.01,1209,0.04,260,0.42
M,200,10,15,1.50X,22,1.50X,24,4.79,16.6,-27.82,0.66,9.32,9.32,9.32,18.64,84,2.63,0.01,454,0.06,698,0.23
M,200,10,15,1.50X,22,1.50X,3,5.72,16.94,-40.89,0.64,11.35,11.35,11.35,22.71,59,2.27,0.01,1082,0.06,243,0.35
M,200,10,15,1.50X,22,1.50X,4,6.96,16.38,-21.86,0.63,11.36,11.36,11.36,22.71,66,4.47,0.02,849,0.11,459,0.56
M,200,10,15,1.50X,22,1.50X,5,5,17.32,-10.75,0.65,11.35,11.35,11.35,22.7,63,2.39,0.01,1008,0.09,460,0.26
M,200,10,15,1.50X,22,1.50X,6,5.22,18.42,-8.14,0.66,8.64,8.64,8.64,17.28,48,3.84,0.02,574,0.09,890,0.67
M,200,10,15,1.50X,22,1.50X,7,5.86,18.49,-22.24,0.66,9.66,9.66,9.66,19.32,45,0.95,0,1135,0.03,306,0.21
M,200,10,15,1.50X,22,1.50X,8,5.79,17.81,6.45,0.65,8.96,8.96,8.96,17.92,52,1.63,0.01,1068,0.07,326,0.29
M,200,10,15,1.50X,22,1.50X,9,4.58,15.41,20.21,0.64,10.89,10.89,10.89,21.79,51,1.95,0.01,1138,0.06,334,0.32
M,50,10,15,1.50X,22,1.50X,0,7.94,15.36,-0.51,0.58,4.2,4.2,4.2,8.41,56,0.43,0.01,1576,0.02,356,0.24
M,50,10,15,1.50X,22,1.50X,1,6.1,14.69,-10.99,0.5,3.93,3.93,3.93,7.86,59,0.72,0.01,1059,0.03,524,0.42
M,50,10,15,1.50X,22,1.50X,10,7.63,14.41,-13.7,0.58,4,4,4,8,55,0.92,0.02,1002,0.03,629,0.58
M,50,10,15,1.50X,22,1.50X,11,6.82,14.51,-48.7,0.58,4.51,4.51,4.51,9.02,54,0.71,0.01,1386,0.02,440,0.44
M,50,10,15,1.50X,22,1.50X,12,6.04,13.55,-21.41,0.58,4.14,4.14,4.14,8.27,238,0.6,0.01,934,0.02,1066,0.08
M,50,10,15,1.50X,22,1.50X,13,10.77,17.27,14.37,0.51,3.78,3.78,3.78,7.57,154,1.39,0.03,493,0.05,913,0.22
M,50,10,15,1.50X,22,1.50X,14,9.26,17.27,-26.18,0.52,3.33,3.33,3.33,6.67,58,0.56,0.01,1527,0.04,172,0.34
M,50,10,15,1.50X,22,1.50X,15,6.17,13.86,5.54,0.58,4.36,4.36,4.36,8.73,129,0.71,0.01,773,0.02,253,0.2
M,50,10,15,1.50X,22,1.50X,16,7.76,14.61,-1.37,0.57,3.87,3.87,3.87,7.74,82,0.91,0.02,1040,0.04,556,0.38
M,50,10,15,1.50X,22,1.50X,17,7.22,14.05,-15.87,0.53,4.42,4.42,4.42,8.85,100,1.01,0.02,933,0.04,462,0.32
M,50,10,15,1.50X,22,1.50X,18,6.83,13.4,-27.36,0.58,4.78,4.78,4.78,9.57,93,0.42,0.01,1502,0.01,450,0.18
M,50,10,15,1.50X,22,1.50X,19,7.87,13.19,7.63,0.57,5.05,5.05,5.05,10.09,35,0.43,0.01,1622,0.01,199,0.36
M,50,10,15,1.50X,22,1.50X,2,6.28,13.46,-29.97,0.52,4.72,4.72,4.72,9.43,178,0.8,0.02,1038,0.02,736,0.14
M,50,10,15,1.50X,22,1.50X,20,7.22,14.47,5.23,0.6,4.11,4.11,4.11,8.21,18,0.11,0,1855,0.01,43,0.24
M,50,10,15,1.50X,22,1.50X,21,8.25,17.09,-51.66,0.54,3.17,3.17,3.17,6.33,43,0.37,0.01,1486,0.01,259,0.26
M,50,10,15,1.50X,22,1.50X,22,8.89,15.36,-39.11,0.53,3.57,3.57,3.57,7.14,246,1.48,0.03,412,0.05,1136,0.2
M,50,10,15,1.50X,22,1.50X,23,6.82,13.5,-35.86,0.57,4.8,4.8,4.8,9.61,96,1.21,0.02,740,0.05,500,0.38
M,50,10,15,1.50X,22,1.50X,24,7.6,13.36,-33.37,0.57,5.07,5.07,5.07,10.14,62,0.62,0.01,1435,0.03,422,0.34
M,50,10,15,1.50X,22,1.50X,3,7.56,14.54,-47.13,0.62,4.37,4.37,4.37,8.74,25,0.32,0.01,1779,0.02,81,0.42
