mod,nAg,rRep,rOr,rOrX,rAt,rAtX,trial,iso,cco,exp,cc,degIn,degOut,avgDeg,degTot,astk,dirOld,dir,iter,inf,sstk,fda
V,200,10,15,1.50X,30,2X,20,1.12,2.24,-76.11,0.36,12.2,12.2,12.2,24.4,7,10.39,0.05,240,0.88,1242,0.97
V,200,10,15,1.50X,30,2X,21,1.01,2.02,-69.73,0.35,12.43,12.43,12.43,24.86,6,10.39,0.05,15,0.98,639,0.99
V,200,10,15,1.50X,30,2X,22,1.08,2.11,-76.21,0.36,12.37,12.37,12.37,24.73,6,13.02,0.07,57,0.97,562,1
V,200,10,15,1.50X,30,2X,23,1.13,2.14,-76.99,0.37,12.16,12.16,12.16,24.32,6,11.07,0.06,5,0.99,1334,0.98
V,200,10,15,1.50X,30,2X,24,1.24,2.26,-74.16,0.36,12.33,12.33,12.33,24.66,6,10.91,0.05,0,0.99,0,0.97
V,200,10,15,1.50X,30,2X,3,1.08,2.16,-75.4,0.36,12.4,12.4,12.4,24.81,6,13.35,0.07,160,0.92,897,0.96
V,200,10,15,1.50X,30,2X,4,1.13,2.13,-75.39,0.37,12.05,12.05,12.05,24.1,6,14.83,0.07,0,1,0,0.99
V,200,10,15,1.50X,30,2X,5,1.07,2.07,-62.4,0.36,12.07,12.07,12.07,24.14,4,9.24,0.05,0,1,0,0.95
V,200,10,15,1.50X,30,2X,6,1.09,2.09,-63.89,0.36,12.26,12.26,12.26,24.52,6,14.52,0.07,0,0.99,0,0.99
V,200,10,15,1.50X,30,2X,7,1.1,2.12,-48.36,0.36,12.2,12.2,12.2,24.4,5,12.06,0.06,0,0.98,0,1
V,200,10,15,1.50X,30,2X,8,1.06,2.09,-73.01,0.36,12.35,12.35,12.35,24.69,5,9.63,0.05,70,0.96,1930,1
V,200,10,15,1.50X,30,2X,9,1,2.02,-69.41,0.36,12.29,12.29,12.29,24.58,5,12.51,0.06,40,0.98,961,1
V,200,10,20,2X,30,1.50X,0,1.07,2.11,-72.33,0.36,12.16,12.16,12.16,24.32,6,12.52,0.06,42,0.96,1212,1
V,200,10,20,2X,30,1.50X,1,1.07,2.22,-73.92,0.35,12.35,12.35,12.35,24.7,6,10.89,0.05,235,0.85,1059,0.97
V,200,10,20,2X,30,1.50X,10,1.09,2.13,-63.3,0.36,12.44,12.44,12.44,24.88,6,11.29,0.06,11,0.96,1012,0.95
V,200,10,20,2X,30,1.50X,11,1.03,2.03,-76.49,0.36,12.41,12.41,12.41,24.82,5,10.1,0.05,0,1,0,0.98
V,200,10,20,2X,30,1.50X,12,1.18,2.22,-72.57,0.37,11.77,11.77,11.77,23.55,5,11.28,0.06,0,0.99,0,0.99
V,200,10,20,2X,30,1.50X,13,1.15,2.15,-77.58,0.37,11.95,11.95,11.95,23.9,6,11.77,0.06,0,0.99,0,1
V,200,10,20,2X,30,1.50X,14,1.02,2.02,-76.62,0.36,12.45,12.45,12.45,24.9,6,12.35,0.06,0,1,0,0.99
V,200,10,20,2X,30,1.50X,15,1.01,2.01,-75.52,0.36,12.29,12.29,12.29,24.57,7,13.43,0.07,0,1,0,1
V,200,10,20,2X,30,1.50X,16,1,2,-75.5,0.36,12.38,12.38,12.38,24.76,5,11.55,0.06,0,1,0,1
V,200,10,20,2X,30,1.50X,17,1.01,2.02,-61.48,0.37,11.97,11.97,11.97,23.94,5,13.87,0.07,22,0.98,1658,1
V,200,10,20,2X,30,1.50X,18,1,2,-78.21,0.35,12.51,12.51,12.51,25.01,7,13.52,0.07,0,1,0,0.99
V,200,10,20,2X,30,1.50X,19,1,2.02,-78.63,0.36,12.29,12.29,12.29,24.59,6,14.03,0.07,40,0.98,1163,0.96
V,200,10,20,2X,30,1.50X,2,1.06,2.06,-77.39,0.36,12.39,12.39,12.39,24.77,6,12.4,0.06,0,1,0,0.94
V,200,10,20,2X,30,1.50X,20,1.03,2.04,-75.68,0.37,12.11,12.11,12.11,24.21,6,11.96,0.06,26,0.98,1113,0.98
V,200,10,20,2X,30,1.50X,21,1.09,2.1,-77.1,0.36,12.38,12.38,12.38,24.76,7,10.29,0.05,24,0.98,1739,0.97
V,200,10,20,2X,30,1.50X,22,1.06,2.09,-76.36,0.36,12.48,12.48,12.48,24.97,6,11.65,0.06,0,0.99,0,1
V,200,10,20,2X,30,1.50X,23,1.01,2.08,-77.96,0.36,12.47,12.47,12.47,24.94,5,12.44,0.06,134,0.93,1638,1
V,200,10,20,2X,30,1.50X,24,1,2,-80.85,0.37,12.07,12.07,12.07,24.15,5,13.05,0.07,0,1,0,0.99
V,200,10,20,2X,30,1.50X,3,1.15,2.18,-58.55,0.36,12.22,12.22,12.22,24.44,7,13.67,0.07,0,0.97,0,1
V,200,10,20,2X,30,1.50X,4,1,2.04,-73.92,0.36,12.5,12.5,12.5,25.01,5,7.23,0.04,48,0.96,1356,1
V,200,10,20,2X,30,1.50X,5,1.03,2.05,-70.51,0.36,12.35,12.35,12.35,24.7,6,11.32,0.06,33,0.98,1856,0.97
V,200,10,20,2X,30,1.50X,6,1.01,2.1,-68.45,0.36,12.49,12.49,12.49,24.98,7,9.93,0.05,0,0.91,0,0.99
V,200,10,20,2X,30,1.50X,7,1.06,2.07,-77.43,0.35,12.39,12.39,12.39,24.78,5,11.83,0.06,6,0.99,1723,0.99
V,200,10,20,2X,30,1.50X,8,1.11,2.2,-76.62,0.36,12.42,12.42,12.42,24.83,7,11.55,0.06,0,0.91,0,0.97
V,200,10,20,2X,30,1.50X,9,1.04,2.06,-78.67,0.36,11.98,11.98,11.98,23.96,6,12.48,0.06,39,0.98,859,0.99
V,50,10,15,1.50X,30,2X,0,1.09,2.09,-71.81,0.4,8.53,8.53,8.53,17.06,7,8.29,0.17,0,0.98,0,0.98
V,50,10,15,1.50X,30,2X,1,1.3,2.39,-72.02,0.4,9.07,9.07,9.07,18.15,7,7.93,0.16,90,0.92,546,0.98
V,50,10,15,1.50X,30,2X,10,1.12,2.18,-79.81,0.41,9.11,9.11,9.11,18.21,7,7.94,0.16,126,0.92,798,0.98
V,50,10,15,1.50X,30,2X,11,1.24,2.33,-61.36,0.4,8.82,8.82,8.82,17.63,8,7.9,0.16,94,0.91,636,0.98
V,50,10,15,1.50X,30,2X,12,1.4,2.44,-77.62,0.41,8.51,8.51,8.51,17.02,6,6.09,0.12,0,0.96,0,0.98
V,50,10,15,1.50X,30,2X,13,1.17,2.18,-75.42,0.37,8.62,8.62,8.62,17.25,5,8.13,0.16,0,0.98,0,0.98
V,50,10,15,1.50X,30,2X,14,1.04,2.05,-68.08,0.4,8.72,8.72,8.72,17.44,6,7.87,0.16,9,0.96,447,0.98
V,50,10,15,1.50X,30,2X,15,1.25,2.45,-59.48,0.4,8.84,8.84,8.84,17.68,7,8.24,0.16,68,0.86,1751,0.98
V,50,10,15,1.50X,30,2X,16,1.12,2.21,-85.35,0.4,9.18,9.18,9.18,18.37,8,9.13,0.18,181,0.89,539,0.98
V,50,10,15,1.50X,30,2X,17,1.2,2.27,-72.89,0.4,8.89,8.89,8.89,17.79,7,8.53,0.17,97,0.91,1078,0.98
V,50,10,15,1.50X,30,2X,18,1.29,2.34,-84.03,0.39,8.47,8.47,8.47,16.95,7,9.61,0.19,90,0.94,1198,0.98
V,50,10,15,1.50X,30,2X,19,1.18,2.23,-82.48,0.41,8.3,8.3,8.3,16.59,4,6.24,0.12,52,0.94,1853,0.98
V,50,10,15,1.50X,30,2X,2,1.05,2.11,-81.12,0.41,9.27,9.27,9.27,18.55,7,8.31,0.17,104,0.93,275,0.98
V,50,10,15,1.50X,30,2X,20,1.02,2.1,-74.16,0.41,8.97,8.97,8.97,17.94,6,7.95,0.16,170,0.9,860,0.98
V,50,10,15,1.50X,30,2X,21,1.19,2.27,-80.87,0.39,9.27,9.27,9.27,18.53,5,6.58,0.13,165,0.9,1835,0.98
V,50,10,15,1.50X,30,2X,22,1.19,2.29,-47.47,0.39,8.5,8.5,8.5,17,6,6.79,0.14,186,0.89,543,0.98
V,50,10,15,1.50X,30,2X,23,1.18,2.19,-65.2,0.4,8.85,8.85,8.85,17.71,6,8.22,0.16,0,0.98,0,0.98
V,50,10,15,1.50X,30,2X,24,1.08,2.13,-85.19,0.39,9.04,9.04,9.04,18.07,6,10.28,0.21,101,0.93,1188,0.98
V,50,10,15,1.50X,30,2X,3,1.02,2.09,-84.52,0.4,9.52,9.52,9.52,19.03,8,9.32,0.19,138,0.91,1002,0.98
V,50,10,15,1.50X,30,2X,4,1.15,2.25,-60.65,0.41,8.63,8.63,8.63,17.26,6,8.61,0.17,174,0.89,1547,0.98
V,50,10,15,1.50X,30,2X,5,1.17,2.25,-85.77,0.4,8.78,8.78,8.78,17.57,5,5.91,0.12,120,0.91,1301,0.98
V,50,10,15,1.50X,30,2X,6,1.22,2.34,-74.47,0.4,9.34,9.34,9.34,18.67,8,8.1,0.16,228,0.87,694,0.98
V,50,10,15,1.50X,30,2X,7,1.28,2.3,-62.12,0.4,8.82,8.82,8.82,17.63,6,7.3,0.15,0,0.97,0,0.98
V,50,10,15,1.50X,30,2X,8,1.17,2.26,-82.04,0.4,8.68,8.68,8.68,17.36,6,6.88,0.14,134,0.9,1321,0.98
V,50,10,15,1.50X,30,2X,9,1.12,2.16,-87.59,0.4,8.56,8.56,8.56,17.11,6,8.56,0.17,0,0.98,0,0.98
V,50,10,20,2X,30,1.50X,0,1.05,2.16,-86.69,0.41,9.75,9.75,9.75,19.5,8,8.88,0.18,227,0.87,768,0.98
V,50,10,20,2X,30,1.50X,1,1.05,2.17,-77.28,0.4,9.16,9.16,9.16,18.32,8,8.98,0.18,231,0.87,799,0.98
V,50,10,20,2X,30,1.50X,10,1.13,2.17,-79.11,0.4,9.41,9.41,9.41,18.82,7,8.25,0.17,66,0.95,1185,0.98
V,50,10,20,2X,30,1.50X,11,1.16,2.22,-87.33,0.39,8.98,8.98,8.98,17.97,7,8.38,0.17,105,0.92,958,0.98
V,50,10,20,2X,30,1.50X,12,1.38,2.55,-86.1,0.4,9.43,9.43,9.43,18.86,8,8.28,0.17,219,0.85,647,0.98
V,50,10,20,2X,30,1.50X,13,1.12,2.22,-85.13,0.4,9.36,9.36,9.36,18.72,9,9.75,0.2,174,0.89,968,0.98
V,50,10,20,2X,30,1.50X,14,1.06,2.09,-87.12,0.4,9.03,9.03,9.03,18.06,7,8.38,0.17,74,0.94,402,0.98
V,50,10,20,2X,30,1.50X,15,1.23,2.24,-3.7,0.38,8.53,8.53,8.53,17.05,6,8.86,0.18,0,0.98,0,0.98
V,50,10,20,2X,30,1.50X,16,1.16,2.24,-81.55,0.4,9.03,9.03,9.03,18.05,8,7.35,0.15,152,0.9,1059,0.98
V,50,10,20,2X,30,1.50X,17,1.08,2.12,-83.76,0.41,8.61,8.61,8.61,17.22,6,9.11,0.18,74,0.94,1627,0.98
V,50,10,20,2X,30,1.50X,18,1.01,2.07,-87.31,0.39,9.01,9.01,9.01,18.02,8,8.78,0.18,0,0.94,0,0.98
V,50,10,20,2X,30,1.50X,19,1.04,2.12,-87.5,0.4,9.53,9.53,9.53,19.06,7,7.3,0.15,158,0.9,1037,0.98
V,50,10,20,2X,30,1.50X,2,1.04,2.07,-84.58,0.39,9.37,9.37,9.37,18.74,6,7.35,0.15,79,0.94,1650,0.98
V,50,10,20,2X,30,1.50X,20,1.06,2.13,-77.97,0.4,9.19,9.19,9.19,18.39,8,8.28,0.17,144,0.91,1111,0.98
V,50,10,20,2X,30,1.50X,21,1.25,2.43,-83.59,0.4,9.28,9.28,9.28,18.56,8,6.71,0.13,290,0.81,723,0.98
V,50,10,20,2X,30,1.50X,22,1.16,2.29,-82.6,0.39,9.3,9.3,9.3,18.61,8,8.79,0.18,253,0.86,1193,0.98
V,50,10,20,2X,30,1.50X,23,1.08,2.13,-85.4,0.4,8.86,8.86,8.86,17.72,6,6.75,0.14,0,0.95,0,0.98
V,50,10,20,2X,30,1.50X,24,1.1,2.19,-80.64,0.41,9.45,9.45,9.45,18.91,6,6.68,0.13,183,0.89,914,0.98
V,50,10,20,2X,30,1.50X,3,1.13,2.31,-85.35,0.4,9.21,9.21,9.21,18.41,8,6.88,0.14,377,0.8,462,0.98
V,50,10,20,2X,30,1.50X,4,1.07,2.11,-83.32,0.4,8.88,8.88,8.88,17.75,8,9.06,0.18,0,0.95,0,0.98
V,50,10,20,2X,30,1.50X,5,1.08,2.16,-71.85,0.41,8.74,8.74,8.74,17.49,7,6.76,0.14,9,0.93,497,0.98
V,50,10,20,2X,30,1.50X,6,1.04,2.04,-84.51,0.42,9.42,9.42,9.42,18.84,7,7.95,0.16,0,0.98,0,0.98
V,50,10,20,2X,30,1.50X,7,1.11,2.2,-82.89,0.41,9.12,9.12,9.12,18.25,6,7.32,0.15,192,0.89,1285,0.98
V,50,10,20,2X,30,1.50X,8,1.26,2.32,-83.13,0.4,9.01,9.01,9.01,18.02,6,8.68,0.17,0,0.96,0,0.98
V,50,10,20,2X,30,1.50X,9,1.08,2.34,-81.42,0.41,9.53,9.53,9.53,19.07,10,7.42,0.15,428,0.73,640,0.98
T7,100,10,15,1.50X,30,2X,0,1,4.18,2.27,0.66,6.93,6.93,6.93,13.86,90,1.27,0.01,1451,0.13,311,0.19
T7,100,10,15,1.50X,30,2X,1,1,3.52,5.06,0.65,6.93,6.93,6.93,13.86,145,3.12,0.03,21,0.4,332,0.35
T7,100,10,15,1.50X,30,2X,10,1,4.08,-26.7,0.67,6.93,6.93,6.93,13.86,128,3.73,0.04,217,0.24,725,0.33
T7,100,10,15,1.50X,30,2X,11,1,4.06,-31.49,0.67,6.93,6.93,6.93,13.86,95,1.57,0.02,1136,0.2,438,0.28
T7,100,10,15,1.50X,30,2X,12,1,3.5,-33.94,0.62,6.93,6.93,6.93,13.86,46,0.67,0.01,1675,0.09,200,0.27
T7,100,10,15,1.50X,30,2X,13,1,4.39,7.69,0.66,6.93,6.93,6.93,13.86,50,1.12,0.01,931,0.17,1069,0.41
T7,100,10,15,1.50X,30,2X,14,1,2.59,-57.5,0.61,6.93,6.93,6.93,13.86,93,3.64,0.04,43,0.49,881,0.56
T7,100,10,15,1.50X,30,2X,15,1,4.22,-18.74,0.66,6.93,6.93,6.93,13.86,44,1.21,0.01,1116,0.2,482,0.45
T7,100,10,15,1.50X,30,2X,16,1,4.7,-48.5,0.66,6.93,6.93,6.93,13.86,55,1.87,0.02,986,0.18,847,0.47
T7,100,10,15,1.50X,30,2X,17,1,3.45,-42.25,0.63,6.93,6.93,6.93,13.86,167,4.77,0.05,268,0.34,313,0.37
T7,100,10,15,1.50X,30,2X,18,1,2.91,-60.04,0.61,6.93,6.93,6.93,13.86,116,3.38,0.03,707,0.31,673,0.45
T7,100,10,15,1.50X,30,2X,19,1,4.02,-8.74,0.67,6.93,6.93,6.93,13.86,87,2.49,0.02,878,0.16,320,0.48
T7,100,10,15,1.50X,30,2X,2,1,3.24,-29.02,0.63,6.93,6.93,6.93,13.86,98,2.46,0.02,0,0.36,0,0.22
T7,100,10,15,1.50X,30,2X,20,1,4.03,-6.36,0.65,6.93,6.93,6.93,13.86,75,2.41,0.02,827,0.23,629,0.55
T7,100,10,15,1.50X,30,2X,21,1,3.03,1.08,0.59,6.93,6.93,6.93,13.86,91,2.62,0.03,849,0.32,1032,0.35
T7,100,10,15,1.50X,30,2X,22,1,3.84,-20.66,0.64,6.93,6.93,6.93,13.86,65,2.24,0.02,823,0.3,663,0.54
T7,100,10,15,1.50X,30,2X,23,1,4.3,-44.9,0.67,6.93,6.93,6.93,13.86,103,2.13,0.02,214,0.37,753,0.39
T7,100,10,15,1.50X,30,2X,24,1,3.49,-34.62,0.63,6.93,6.93,6.93,13.86,135,1.36,0.01,1007,0.25,993,0.19
T7,100,10,15,1.50X,30,2X,3,1,4.34,-28.01,0.68,6.93,6.93,6.93,13.86,96,2.71,0.03,80,0.28,1311,0.34
T7,100,10,15,1.50X,30,2X,4,1,3.93,-32.14,0.61,6.93,6.93,6.93,13.86,54,1.55,0.02,1252,0.13,448,0.53
T7,100,10,15,1.50X,30,2X,5,1,5.02,-17.29,0.67,6.93,6.93,6.93,13.86,51,1.64,0.02,1087,0.15,738,0.44
T7,100,10,15,1.50X,30,2X,6,1,4.87,-2.89,0.67,6.93,6.93,6.93,13.86,37,1.45,0.01,1282,0.13,410,0.54
T7,100,10,15,1.50X,30,2X,7,1,4.21,-53.69,0.64,6.93,6.93,6.93,13.86,46,0.58,0.01,1732,0.08,140,0.24
T7,100,10,15,1.50X,30,2X,8,1,4.56,8.03,0.69,6.93,6.93,6.93,13.86,85,1.49,0.01,941,0.21,785,0.31
T7,100,10,15,1.50X,30,2X,9,1,3.55,2.66,0.65,6.93,6.93,6.93,13.86,70,2.5,0.03,69,0.32,1221,0.56
T7,100,10,20,2X,30,1.50X,0,1,3.03,-74.04,0.6,6.93,6.93,6.93,13.86,134,1.55,0.02,0,0.48,0,0.15
T7,100,10,20,2X,30,1.50X,1,1,3.55,0.48,0.62,6.93,6.93,6.93,13.86,63,1.28,0.01,1021,0.18,578,0.33
T7,100,10,20,2X,30,1.50X,10,1,4.26,9.76,0.62,6.93,6.93,6.93,13.86,34,1.47,0.01,1344,0.13,265,0.59
T7,100,10,20,2X,30,1.50X,11,1,4.01,-77.1,0.64,6.93,6.93,6.93,13.86,54,0.63,0.01,1645,0.06,111,0.23
T7,100,10,20,2X,30,1.50X,12,1,3,-40.16,0.6,6.93,6.93,6.93,13.86,268,2.28,0.02,85,0.49,1915,0.13
T7,100,10,20,2X,30,1.50X,13,1,4.71,-16.17,0.66,6.93,6.93,6.93,13.86,325,1.95,0.02,950,0.2,807,0.12
T7,100,10,20,2X,30,1.50X,14,1,2.48,-14.41,0.59,6.93,6.93,6.93,13.86,181,3.44,0.03,61,0.6,207,0.34
T7,100,10,20,2X,30,1.50X,15,1,2.85,-13.35,0.6,6.93,6.93,6.93,13.86,82,1.66,0.02,9,0.4,166,0.4
T7,100,10,20,2X,30,1.50X,16,1,3.84,-40.21,0.64,6.93,6.93,6.93,13.86,58,2.26,0.02,1025,0.22,844,0.53
T7,100,10,20,2X,30,1.50X,17,1,4.01,-50.16,0.63,6.93,6.93,6.93,13.86,58,0.97,0.01,1047,0.18,814,0.28
T7,100,10,20,2X,30,1.50X,18,1,4.35,-9.13,0.68,6.93,6.93,6.93,13.86,239,2.51,0.03,0,0.3,0,0.18
T7,100,10,20,2X,30,1.50X,19,1,3.84,3.82,0.64,6.93,6.93,6.93,13.86,174,2.27,0.02,337,0.31,1663,0.19
T7,100,10,20,2X,30,1.50X,2,1,4.76,-7.63,0.66,6.93,6.93,6.93,13.86,70,2.03,0.02,1027,0.17,818,0.46
T7,100,10,20,2X,30,1.50X,20,1,3.37,-61.56,0.63,6.93,6.93,6.93,13.86,108,2.88,0.03,447,0.36,542,0.32
T7,100,10,20,2X,30,1.50X,21,1,4.13,-49.39,0.63,6.93,6.93,6.93,13.86,49,2.66,0.03,918,0.27,421,0.61
T7,100,10,20,2X,30,1.50X,22,1,4.5,-21.8,0.63,6.93,6.93,6.93,13.86,32,1.03,0.01,1223,0.17,524,0.45
T7,100,10,20,2X,30,1.50X,23,1,3.07,-76.08,0.61,6.93,6.93,6.93,13.86,254,1.91,0.02,499,0.36,1501,0.14
T7,100,10,20,2X,30,1.50X,24,1,4.28,-42.01,0.64,6.93,6.93,6.93,13.86,61,1.51,0.02,845,0.14,1155,0.32
T7,100,10,20,2X,30,1.50X,3,1,4.23,-13.15,0.63,6.93,6.93,6.93,13.86,63,1.4,0.01,1389,0.14,511,0.29
T7,100,10,20,2X,30,1.50X,4,1,4.56,-15.99,0.64,6.93,6.93,6.93,13.86,47,0.87,0.01,1640,0.09,334,0.23
T7,100,10,20,2X,30,1.50X,5,1,2.72,-27.56,0.59,6.93,6.93,6.93,13.86,332,4.32,0.04,270,0.45,1730,0.24
T7,100,10,20,2X,30,1.50X,6,1,3.33,-14.14,0.6,6.93,6.93,6.93,13.86,48,1.28,0.01,1527,0.13,365,0.35
T7,100,10,20,2X,30,1.50X,7,1,4.92,-5.31,0.66,6.93,6.93,6.93,13.86,76,1.57,0.02,1405,0.1,343,0.34
T7,100,10,20,2X,30,1.50X,8,1,4.37,-22.49,0.65,6.93,6.93,6.93,13.86,96,1.21,0.01,1330,0.18,308,0.23
T7,100,10,20,2X,30,1.50X,9,1,3.98,-11.06,0.63,6.93,6.93,6.93,13.86,41,1.61,0.02,1259,0.17,442,0.54
T7,200,10,15,1.50X,30,2X,0,1,5.64,-45.06,0.61,6.97,6.97,6.97,13.93,51,0.77,0,1592,0.1,408,0.13
T7,200,10,15,1.50X,30,2X,1,1,5.79,-21.06,0.61,6.97,6.97,6.97,13.93,42,1.47,0.01,1051,0.18,586,0.32
T7,200,10,15,1.50X,30,2X,10,1,4.33,-25.22,0.58,6.97,6.97,6.97,13.93,55,1.58,0.01,1198,0.16,495,0.23
T7,200,10,15,1.50X,30,2X,11,1,5,-21.71,0.61,6.97,6.97,6.97,13.93,53,1.63,0.01,1069,0.17,658,0.28
T7,200,10,15,1.50X,30,2X,12,1,4.76,-62.35,0.58,6.97,6.97,6.97,13.93,109,3.38,0.02,730,0.2,636,0.27
T7,200,10,15,1.50X,30,2X,13,1,4.82,2.47,0.6,6.97,6.97,6.97,13.93,36,1.95,0.01,1039,0.2,486,0.36
T7,200,10,15,1.50X,30,2X,14,1,5.05,16.79,0.6,6.97,6.97,6.97,13.93,53,1.75,0.01,753,0.25,167,0.29
T7,200,10,15,1.50X,30,2X,15,1,3.63,-75.43,0.56,6.97,6.97,6.97,13.93,33,1.68,0.01,888,0.27,994,0.44
T7,200,10,15,1.50X,30,2X,16,1,4.84,1.14,0.6,6.97,6.97,6.97,13.93,56,4.09,0.02,159,0.31,664,0.49
T7,200,10,15,1.50X,30,2X,17,1,4.67,-16.26,0.59,6.97,6.97,6.97,13.93,80,3.73,0.02,60,0.22,367,0.33
T7,200,10,15,1.50X,30,2X,18,1,3.15,-68.85,0.57,6.97,6.97,6.97,13.93,44,1.65,0.01,1054,0.24,578,0.33
T7,200,10,15,1.50X,30,2X,19,1,5.46,6.66,0.62,6.97,6.97,6.97,13.93,63,1.97,0.01,741,0.16,596,0.26
T7,200,10,15,1.50X,30,2X,2,1,4.64,-43.81,0.6,6.97,6.97,6.97,13.93,31,2.08,0.01,818,0.26,745,0.51
T7,200,10,15,1.50X,30,2X,20,1,5.57,-31.79,0.6,6.97,6.97,6.97,13.93,44,0.75,0,1511,0.07,428,0.14
T7,200,10,15,1.50X,30,2X,21,1,4.26,-7.17,0.6,6.97,6.97,6.97,13.93,92,2.09,0.01,0,0.29,0,0.16
T7,200,10,15,1.50X,30,2X,22,1,3.74,-26.2,0.56,6.97,6.97,6.97,13.93,58,3.97,0.02,747,0.35,803,0.56
T7,200,10,15,1.50X,30,2X,23,1,5.51,-46.37,0.61,6.97,6.97,6.97,13.93,64,1.64,0.01,1342,0.07,408,0.21
T7,200,10,15,1.50X,30,2X,24,1,3.62,-24.78,0.58,6.97,6.97,6.97,13.93,138,3.52,0.02,107,0.32,221,0.23
T7,200,10,15,1.50X,30,2X,3,1,3.88,-2.6,0.58,6.97,6.97,6.97,13.93,68,1.65,0.01,1003,0.17,899,0.2
T7,200,10,15,1.50X,30,2X,4,1,4.71,-19.22,0.59,6.97,6.97,6.97,13.93,98,2.17,0.01,849,0.19,385,0.2
T7,200,10,15,1.50X,30,2X,5,1,6.47,-8.59,0.63,6.97,6.97,6.97,13.93,77,2.12,0.01,1007,0.12,798,0.21
T7,200,10,15,1.50X,30,2X,6,1,5.49,-9.02,0.61,6.97,6.97,6.97,13.93,38,1.21,0.01,1110,0.14,499,0.27
T7,200,10,15,1.50X,30,2X,7,1,4.12,-1.58,0.6,6.97,6.97,6.97,13.93,143,1.58,0.01,563,0.21,850,0.1
T7,200,10,15,1.50X,30,2X,8,1,3.64,-28.34,0.59,6.97,6.97,6.97,13.93,56,2.57,0.01,136,0.32,242,0.39
T7,200,10,15,1.50X,30,2X,9,1,5.15,-48.87,0.61,6.97,6.97,6.97,13.93,45,2.24,0.01,908,0.2,686,0.39
T7,200,10,20,2X,30,1.50X,0,1,5.19,-8.02,0.58,6.97,6.97,6.97,13.93,40,0.66,0,1599,0.1,357,0.15
T7,200,10,20,2X,30,1.50X,1,1,3.12,-68.29,0.54,6.97,6.97,6.97,13.93,61,3.13,0.02,615,0.38,711,0.39
T7,200,10,20,2X,30,1.50X,10,1,4.51,-53.01,0.57,6.97,6.97,6.97,13.93,47,0.4,0,1756,0.09,149,0.08
T7,200,10,20,2X,30,1.50X,11,1,3.31,-61.7,0.55,6.97,6.97,6.97,13.93,29,1.42,0.01,1361,0.18,318,0.37
T7,200,10,20,2X,30,1.50X,12,1,3.94,-25.94,0.57,6.97,6.97,6.97,13.93,46,1.97,0.01,1170,0.13,416,0.29
T7,200,10,20,2X,30,1.50X,13,1,3.3,-54.22,0.56,6.97,6.97,6.97,13.93,68,2.79,0.01,778,0.41,830,0.31
T7,200,10,20,2X,30,1.50X,14,1,3.23,-70.61,0.54,6.97,6.97,6.97,13.93,43,0.93,0,1645,0.08,308,0.19
T7,200,10,20,2X,30,1.50X,15,1,5.06,-27.46,0.58,6.97,6.97,6.97,13.93,53,1.3,0.01,1559,0.09,403,0.22
T7,200,10,20,2X,30,1.50X,16,1,3.76,-49.43,0.57,6.97,6.97,6.97,13.93,63,3.33,0.02,721,0.24,601,0.38
T7,200,10,20,2X,30,1.50X,17,1,6.2,10.75,0.6,6.97,6.97,6.97,13.93,41,0.92,0,1584,0.08,332,0.15
T7,200,10,20,2X,30,1.50X,18,1,4.13,-39.41,0.58,6.97,6.97,6.97,13.93,50,0.78,0,1610,0.1,290,0.13
T7,200,10,20,2X,30,1.50X,19,1,4.65,-4.34,0.57,6.97,6.97,6.97,13.93,47,2.31,0.01,757,0.24,1115,0.46
T7,200,10,20,2X,30,1.50X,2,1,4.06,-41.31,0.57,6.97,6.97,6.97,13.93,110,2.82,0.01,0,0.48,0,0.21
T7,200,10,20,2X,30,1.50X,20,1,5.27,-16.21,0.59,6.97,6.97,6.97,13.93,51,2.69,0.01,1067,0.17,370,0.4
T7,200,10,20,2X,30,1.50X,21,1,5.06,-41.16,0.58,6.97,6.97,6.97,13.93,45,1.4,0.01,1357,0.16,321,0.26
T7,200,10,20,2X,30,1.50X,22,1,4.02,-57.83,0.56,6.97,6.97,6.97,13.93,68,0.89,0,1460,0.07,527,0.12
T7,200,10,20,2X,30,1.50X,23,1,3.94,11.33,0.57,6.97,6.97,6.97,13.93,58,1.8,0.01,1216,0.15,506,0.26
T7,200,10,20,2X,30,1.50X,24,1,5.09,7.27,0.59,6.97,6.97,6.97,13.93,65,0.75,0,1528,0.11,365,0.1
T7,200,10,20,2X,30,1.50X,3,1,5.06,8.81,0.59,6.97,6.97,6.97,13.93,150,3.53,0.02,807,0.15,1193,0.22
T7,200,10,20,2X,30,1.50X,4,1,3.54,-52.3,0.57,6.97,6.97,6.97,13.93,102,2.05,0.01,951,0.32,1049,0.19
T7,200,10,20,2X,30,1.50X,5,1,5,-20.92,0.59,6.97,6.97,6.97,13.93,67,1.78,0.01,652,0.21,609,0.23
T7,200,10,20,2X,30,1.50X,6,1,4.45,-46.37,0.57,6.97,6.97,6.97,13.93,38,2.14,0.01,1290,0.19,331,0.47
T7,200,10,20,2X,30,1.50X,7,1,5.16,-67.36,0.58,6.97,6.97,6.97,13.93,51,1.71,0.01,1441,0.11,499,0.31
T7,200,10,20,2X,30,1.50X,8,1,5.01,-62.9,0.58,6.97,6.97,6.97,13.93,47,1.3,0.01,1311,0.16,496,0.25
T7,200,10,20,2X,30,1.50X,9,1,4.27,-14.37,0.58,6.97,6.97,6.97,13.93,43,1.67,0.01,558,0.3,1023,0.36
